run_id,algorithm,scenario,axis,dimension,kpi,value,baseline,value_minus_baseline,lower_is_better,comparison_available,improved_vs_baseline,signed_relative_gain,source,note
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_departure_met_count,19523.0,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_departure_soc_deficit_mean,0.25038741656563984,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_departure_success_rate,0.4919862910135578,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_departure_within_tolerance_count,2069.0,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_departure_within_tolerance_rate,0.052139509097323726,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_v2g_export_total,51626.38560903435,,,False,True,,,citylearn_v2.evaluate_v2,CityLearn v2 EV vehicle-to-grid export in kWh.
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_export_baseline,40650861.100133896,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_export_control,39007600.305511184,40650861.100133896,-1643260.7946227118,True,True,True,0.04042376348621307,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_export_delta,-823881.6964933941,0.0,-823881.6964933941,True,True,True,1.0,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_export_ratio,0.959576236513787,1.0,-0.040423763486213016,True,True,True,0.040423763486213016,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_import,1.556078296510025,1.0,0.556078296510025,True,True,False,-0.556078296510025,citylearn_v2.evaluate_v2,CityLearn v2 district import ratio to baseline.
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_import_baseline,11181035.626140594,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_import_control,10816847.511866113,11181035.626140594,-364188.1142744813,True,True,True,0.03257194829278884,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,grid_import_delta,-182593.00192218114,0.0,-182593.00192218114,True,True,True,1.0,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,net_exchange_baseline,-29469825.4739933,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,net_exchange_control,-28190752.793645073,-29469825.4739933,1279072.6803482287,True,True,False,-0.04340279115249569,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,net_exchange_delta,641288.694571212,0.0,641288.694571212,True,True,False,-1.0,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,one_minus_load_factor_average,0.8469709098763134,1.0,-0.1530290901236866,True,True,True,0.1530290901236866,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,peak_average,1.4000273280828726,1.0,0.40002732808287256,True,True,False,-0.40002732808287256,citylearn_v2.evaluate_v2,
