algorithm,scenario,cost_function,level,name,value
HAPPO,E1,building_ev_performance_departure_within_tolerance_ratio,building,Building_11,0.0284842319430315
HAPPO,E1,building_ev_total_charge_kwh,building,Building_11,1979.7644637934864
HAPPO,E1,building_ev_total_v2g_export_kwh,building,Building_11,2403.640669512999
HAPPO,E1,building_solar_self_consumption_daily_average_export_kwh,building,Building_11,27661.261833812958
HAPPO,E1,building_solar_self_consumption_daily_average_generation_kwh,building,Building_11,28769.848278196278
HAPPO,E1,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_11,0.0385329263353634
HAPPO,E1,building_solar_self_consumption_total_export_kwh,building,Building_11,10095208.01676532
HAPPO,E1,building_solar_self_consumption_total_generation_kwh,building,Building_11,10499795.87786338
HAPPO,E1,building_battery_health_capacity_fade_ratio,building,Building_12,0.0007576428271117
HAPPO,E1,building_battery_health_equivalent_full_cycles_count,building,Building_12,202.6526575288852
HAPPO,E1,building_battery_total_charge_kwh,building,Building_12,937963.169716143
HAPPO,E1,building_battery_total_discharge_kwh,building,Building_12,823493.7295249272
HAPPO,E1,building_battery_total_throughput_kwh,building,Building_12,1761456.8992410705
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_ratio,building,Building_12,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_ratio,building,Building_12,
HAPPO,E1,building_comfort_resilience_discomfort_overall_ratio,building,Building_12,
HAPPO,E1,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_12,
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_12,0.0
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_12,
HAPPO,E1,building_cost_daily_average_baseline_eur,building,Building_12,1729.9776133102998
HAPPO,E1,building_cost_daily_average_control_eur,building,Building_12,1656.202935037472
HAPPO,E1,building_cost_daily_average_delta_eur,building,Building_12,-73.7746782728277
HAPPO,E1,building_cost_ratio_to_baseline_total_ratio,building,Building_12,0.9573551254621958
HAPPO,E1,building_cost_total_baseline_eur,building,Building_12,631369.7464577048
HAPPO,E1,building_cost_total_control_eur,building,Building_12,604445.0628330507
HAPPO,E1,building_cost_total_delta_eur,building,Building_12,-26924.68362465408
HAPPO,E1,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_12,0.0408918030044427
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_12,1288.9163818359375
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_12,1288.9163818359375
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_12,1281.5164794921875
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_12,442.5389404296875
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_12,443.1054992675781
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_12,443.7992248535156
HAPPO,E1,building_electrical_service_phase_violations_energy_total_kwh,building,Building_12,0.0
HAPPO,E1,building_electrical_service_phase_violations_event_count,building,Building_12,0.0
HAPPO,E1,building_emissions_daily_average_baseline_kgco2,building,Building_12,2623.873276874511
HAPPO,E1,building_emissions_daily_average_control_kgco2,building,Building_12,3033.994328539344
HAPPO,E1,building_emissions_daily_average_delta_kgco2,building,Building_12,410.1210516648329
HAPPO,E1,building_emissions_ratio_to_baseline_total_ratio,building,Building_12,1.1563036810045029
HAPPO,E1,building_emissions_total_baseline_kgco2,building,Building_12,957604.4180059932
HAPPO,E1,building_emissions_total_control_kgco2,building,Building_12,1107281.5134865046
HAPPO,E1,building_emissions_total_delta_kgco2,building,Building_12,149677.0954805113
HAPPO,E1,building_energy_grid_daily_average_export_baseline_kwh,building,Building_12,10225.511170092095
HAPPO,E1,building_energy_grid_daily_average_export_control_kwh,building,Building_12,10518.474772454942
HAPPO,E1,building_energy_grid_daily_average_export_delta_kwh,building,Building_12,292.9636023628452
HAPPO,E1,building_energy_grid_daily_average_import_baseline_kwh,building,Building_12,3407.6644310357296
HAPPO,E1,building_energy_grid_daily_average_import_control_kwh,building,Building_12,4032.6870556646377
HAPPO,E1,building_energy_grid_daily_average_import_delta_kwh,building,Building_12,625.0226246289078
HAPPO,E1,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_12,-6817.846739056367
HAPPO,E1,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_12,-6485.787716790304
HAPPO,E1,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_12,332.05902226606264
HAPPO,E1,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_12,1.0286502647632634
HAPPO,E1,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_12,1.1834167176017791
HAPPO,E1,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_12,0.951295616493717
HAPPO,E1,building_energy_grid_total_export_baseline_kwh,building,Building_12,3731885.5141181946
HAPPO,E1,building_energy_grid_total_export_control_kwh,building,Building_12,3838805.022163868
HAPPO,E1,building_energy_grid_total_export_delta_kwh,building,Building_12,106919.50804567336
HAPPO,E1,building_energy_grid_total_import_baseline_kwh,building,Building_12,1243655.5313100817
HAPPO,E1,building_energy_grid_total_import_control_kwh,building,Building_12,1471762.7466902733
HAPPO,E1,building_energy_grid_total_import_delta_kwh,building,Building_12,228107.2153801918
HAPPO,E1,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_12,-2488229.982808113
HAPPO,E1,building_energy_grid_total_net_exchange_control_kwh,building,Building_12,-2367042.2754735947
HAPPO,E1,building_energy_grid_total_net_exchange_delta_kwh,building,Building_12,121187.70733451845
HAPPO,E1,building_equity_benefit_relative_percent,building,Building_12,4.264487453780421
HAPPO,E1,building_ev_events_departure_count,building,Building_12,960.0
HAPPO,E1,building_ev_events_departure_met_count,building,Building_12,556.0
HAPPO,E1,building_ev_events_departure_within_tolerance_count,building,Building_12,74.0
HAPPO,E1,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_12,0.1710414607633526
HAPPO,E1,building_ev_performance_departure_success_ratio,building,Building_12,0.5791666666666667
HAPPO,E1,building_ev_performance_departure_within_tolerance_ratio,building,Building_12,0.0770833333333333
HAPPO,E1,building_ev_total_charge_kwh,building,Building_12,9377.641594192011
HAPPO,E1,building_ev_total_v2g_export_kwh,building,Building_12,2659.3727416282345
HAPPO,E1,building_solar_self_consumption_daily_average_export_kwh,building,Building_12,8998.212112877283
HAPPO,E1,building_solar_self_consumption_daily_average_generation_kwh,building,Building_12,12113.474015475873
HAPPO,E1,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_12,0.257173284775169
HAPPO,E1,building_solar_self_consumption_total_export_kwh,building,Building_12,3283972.4956955053
HAPPO,E1,building_solar_self_consumption_total_generation_kwh,building,Building_12,4420913.287564714
HAPPO,E1,building_battery_health_capacity_fade_ratio,building,Building_13,7.104060409195553e-05
HAPPO,E1,building_battery_health_equivalent_full_cycles_count,building,Building_13,21.413341089663238
HAPPO,E1,building_battery_total_charge_kwh,building,Building_13,6173.606497108936
HAPPO,E1,building_battery_total_discharge_kwh,building,Building_13,5475.251055667863
HAPPO,E1,building_battery_total_throughput_kwh,building,Building_13,11648.8575527768
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_13,0.0
