algorithm,scenario,metric,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,sum
HAPPO,E1,phase_imbalance_ratio_average,17,0.26823047958571944,0.2318123291726948,0.20265000867072863,0.0408918030044427,0.0950111570424526,0.4379924649453943,0.3429813079029417,0.735740001222395,0.7555070139072954,4.559918152957231
HAPPO,E1,pv_export_daily_average_kwh,17,6549.897135683048,5142.393092884337,6616.097719952901,260.26971217588664,2931.509639985739,8070.238117958882,5138.7284779731435,27661.261833812958,1.010107118157505,111348.25130661181
HAPPO,E1,pv_export_total_kwh,17,2390439.5421436587,1876759.212523913,2414599.9970444776,94987.60037285797,1069878.8723597953,2945300.65313341,1875421.7807736148,10095208.01676532,1.0101071181575054,40637472.2164422
HAPPO,E1,pv_generation_daily_average_kwh,17,7984.47792740731,6675.088427264501,6913.685478549245,733.1778193012495,2999.344794388089,11843.52642859476,8844.18163420667,28769.848278196278,0.8658907371786337,135736.12476592427
HAPPO,E1,pv_generation_total_kwh,17,2914001.756923359,2436129.1472670734,2523207.129442201,267579.35496915184,1094635.8772518863,4322393.666169229,3227757.7889173427,10499795.87786338,0.8658907371786337,49538029.867697105
HAPPO,E1,pv_self_consumption_ratio,17,0.22967253858770992,0.1611248556278609,0.265335557907209,0.0030292706830115,0.0321342625621691,0.2772084842022399,0.2450742216400708,0.8265517132194693,1.1552776816017978,3.9044331559910685
HAPPO,E1,action_l2_max,0,,,,,,,,,,
HAPPO,E1,action_l2_mean,0,,,,,,,,,,
HAPPO,E1,action_l2_min,0,,,,,,,,,,
HAPPO,E1,action_l2_total,0,,,,,,,,,,
HAPPO,E1,action_mean_max,0,,,,,,,,,,
HAPPO,E1,action_mean_mean,0,,,,,,,,,,
HAPPO,E1,action_mean_min,0,,,,,,,,,,
HAPPO,E1,action_mean_total,0,,,,,,,,,,
HAPPO,E1,agent_steps,0,,,,,,,,,,
HAPPO,E1,carbon_emissions_max,0,,,,,,,,,,
HAPPO,E1,carbon_emissions_mean,0,,,,,,,,,,
