algorithm,scenario,kpi,n,mean,median,std,min,p25,p75,iqr,max,cv_abs
MATD3,E2,building_battery_total_charge_kwh,17,259.1452410401379,0.0,872.5780617541421,0.0,0.0,0.0,0.0,3607.206620061799,3.367139053960062
MATD3,E2,building_battery_total_discharge_kwh,17,298.76548944737715,140.2913589477539,352.93136773265815,0.0,38.87544536590576,532.7440643310547,493.8686189651489,1223.2149353027344,1.1812989792946667
MATD3,E2,building_battery_total_throughput_kwh,17,557.9107304875151,207.9210968017578,849.429584024121,38.87544536590576,129.90314421200696,662.9605941772461,533.0574499652391,3607.433335058442,1.5225188145814477
MATD3,E2,building_comfort_resilience_discomfort_cold_delta_average_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_discomfort_cold_delta_max_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_discomfort_cold_delta_min_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_discomfort_cold_ratio,0,,,,,,,,,
MATD3,E2,building_comfort_resilience_discomfort_hot_delta_average_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_discomfort_hot_delta_max_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_discomfort_hot_delta_min_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_discomfort_hot_ratio,0,,,,,,,,,
MATD3,E2,building_comfort_resilience_discomfort_overall_ratio,0,,,,,,,,,
MATD3,E2,building_comfort_resilience_resilience_one_minus_thermal_ratio,0,,,,,,,,,
MATD3,E2,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0,,,,,,,,,
MATD3,E2,building_cost_daily_average_baseline_eur,17,1131.916186209909,444.32812471742704,2151.397690017156,-148.19653473751538,19.404066661335712,766.9849556191324,747.5808889577967,7553.0826018523,1.9006687210833721
MATD3,E2,building_cost_daily_average_control_eur,17,1136.3958575031672,438.0834585927629,2154.350845584438,-136.08554968547836,22.06466762901581,766.8956414735835,744.8309738445677,7568.212585080602,1.8957749901674854
MATD3,E2,building_cost_daily_average_delta_eur,17,4.479671293258071,0.8324625242354633,8.489802288221563,-6.244666124664225,-2.603162443613887,12.110985052037025,14.714147495650913,19.706427751933692,1.8951842071534937
MATD3,E2,building_cost_ratio_to_baseline_total_ratio,17,3.1128001530680525,1.0020031534177307,8.622816379159609,0.9182775422280426,0.9953320980043942,1.0460235512957925,0.05069145329139835,36.573096244597686,2.7701156370931006
MATD3,E2,building_cost_total_baseline_eur,17,413102.2447921914,162161.25184999764,785170.5152858446,-54085.56032357905,7081.675828609979,279917.5510944992,272835.8752658892,2756560.437901012,1.900668721083372
MATD3,E2,building_cost_total_control_eur,17,414737.13816126005,159882.20890891706,786248.2940197539,-49665.5554039627,8052.684323439561,279884.9551527966,271832.27082935703,2762082.2513633748,1.8957749901674856
MATD3,E2,building_cost_total_delta_eur,17,1634.893369068643,303.81413540743426,3098.424093438861,-2279.042941080581,-950.0458268172516,4420.004919616345,5370.050746433597,7192.025028299468,1.895184207153494
MATD3,E2,building_electrical_service_phase_imbalance_phase_average_ratio,17,0.25778643914354726,0.0970082055023617,0.3200554069983294,0.0239895706744754,0.0638700315003445,0.264760029552976,0.20088999805263152,1.0340533049128031,1.2415525349652234
MATD3,E2,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,17,985.5416017420151,841.6679077148438,954.7032903063161,147.25950622558594,404.4862976074219,1110.2860107421875,705.7997131347656,4385.52734375,0.9687092747975428
MATD3,E2,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,17,984.1063079833984,846.4678955078125,955.0700492260963,147.25950622558594,397.0863037109375,1118.6859130859375,721.599609375,4385.52734375,0.9704947945951059
MATD3,E2,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,17,987.1768861658433,840.4678955078125,956.743200694979,154.6595001220703,389.686279296875,1114.2860107421875,724.5997314453125,4392.92724609375,0.9691709906326236
MATD3,E2,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,17,99.49067362617043,0.0,253.59642468343915,0.0,0.0,29.265581130981445,29.265581130981445,913.9732666015624,2.5489467046560645
MATD3,E2,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,17,100.01921778391389,0.0,256.2310489247837,0.0,0.0,25.960569381713867,25.960569381713867,921.3732299804688,2.5618181645687033
MATD3,E2,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,17,100.33773074430577,0.0,256.8028713798788,0.0,0.0,21.86557960510254,21.86557960510254,928.7732543945312,2.5593848841797984
MATD3,E2,building_electrical_service_phase_violations_energy_total_kwh,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_electrical_service_phase_violations_event_count,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E2,building_emissions_daily_average_baseline_kgco2,17,1768.7301879117024,816.8229168598608,3117.865377471109,42.7301482881418,175.8300803079809,1182.0364905146257,1006.2064102066448,11136.50412075241,1.762770488557273
MATD3,E2,building_emissions_daily_average_control_kgco2,17,1776.1467887447473,812.9423801897996,3122.2262685993355,60.34003487100394,170.61279739874496,1176.9720383983918,1006.3592409996468,11160.121024670076,1.7578649965107334
MATD3,E2,building_emissions_daily_average_delta_kgco2,17,7.416600833044434,1.526869041604693,11.752248436856135,-5.9280433263461685,-3.0495242415090025,19.04747612536326,22.097000366872262,27.804785184977828,1.584586888442797
MATD3,E2,building_emissions_ratio_to_baseline_total_ratio,17,1.0421428734111502,1.0022935810035472,0.11015306091680814,0.9703276999015332,0.998034972946438,1.0259613476008709,0.02792637465443293,1.446890282906732,0.10569861746139882
MATD3,E2,building_emissions_total_baseline_kgco2,17,645512.8214966083,298106.3303656467,1137890.9517195602,15594.723702326415,64170.653059066855,431394.0675174002,367223.41445833334,4064359.983069598,1.7627704885572733
MATD3,E2,building_emissions_total_control_kgco2,17,648219.5717756349,296690.09617010225,1139482.495277566,22021.59855979681,62266.56218398362,429545.753513813,367279.1913298294,4072979.1689618826,1.757864996510734
MATD3,E2,building_emissions_total_delta_kgco2,17,2706.7502790265085,557.2435806423127,4289.081002434286,-2163.488812311087,-1112.949284640723,6951.535140919033,8064.484425559756,10147.588059800866,1.5845868884427965
MATD3,E2,building_energy_grid_daily_average_export_baseline_kwh,17,6527.905365082867,5276.410847195916,6781.722601349422,256.0209414952353,1975.0696673039936,8183.134590898425,6208.064923594431,27906.825126267307,1.0388818804917421
MATD3,E2,building_energy_grid_daily_average_export_control_kwh,17,6525.882779165728,5272.513328675301,6783.273209464333,256.2600927527317,1952.611442352732,8180.495622596535,6227.884180243804,27907.799764693063,1.039441473132239
MATD3,E2,building_energy_grid_daily_average_export_delta_kwh,17,-2.022585917141409,-0.7560052652856588,5.5288206531555035,-22.458224951261418,-2.152517891063553,0.2739609452276037,2.4264788362911567,2.3553442407898304,2.7335405662121777
MATD3,E2,building_energy_grid_daily_average_import_baseline_kwh,17,2310.7707302430113,1057.432518166186,4083.940549575576,55.11883778364668,230.31525636838543,1530.6521813516435,1300.336924983258,14657.97326469465,1.7673499564996178
MATD3,E2,building_energy_grid_daily_average_import_control_kwh,17,2320.82939427878,1056.5887294029833,4089.9706275276612,78.4236902643494,223.4936523416592,1524.1140739936538,1300.6204216519945,14690.726041630724,1.7622883601914474
MATD3,E2,building_energy_grid_daily_average_import_delta_kwh,17,10.05866403576836,1.9313176264296328,15.767634183279311,-7.6579186937855,-3.790342992919128,25.190043095843357,28.980386088762486,37.30739982835996,1.5675674351196138
MATD3,E2,building_energy_grid_daily_average_net_exchange_baseline_kwh,17,-4217.1346348398565,-4985.119784057603,8403.132068393712,-26376.172944915663,-6607.640479005558,-378.2853331045414,6229.355145901016,12682.903597390656,1.9926165029143814
MATD3,E2,building_energy_grid_daily_average_net_exchange_control_kwh,17,-4205.053384886947,-4943.914865708628,8412.190987428045,-26383.68569069941,-6617.653741940133,-356.53653064548786,6261.117211294645,12738.114599277991,2.0004956459439116
MATD3,E2,building_energy_grid_daily_average_net_exchange_delta_kwh,17,12.081249952909769,5.574323866289662,19.272198844030108,-10.01326293457533,-3.034337727633469,26.244405414160155,29.278743141793626,55.211001887334,1.595215637384309
MATD3,E2,building_energy_grid_ratio_to_baseline_export_total_ratio,17,0.9987729476049592,0.9998936547686836,0.00310508230335381,0.9886291479621996,0.9992613314934172,1.0000420362370168,0.0007807047435995917,1.0009341081870085,0.0031088970829653982
MATD3,E2,building_energy_grid_ratio_to_baseline_import_total_ratio,17,1.0431997996757523,1.0023373541829348,0.11288818848486593,0.9703814496082916,0.9981188649571012,1.0252484994232252,0.02712963446612393,1.458029067720325,0.10821339164362749
MATD3,E2,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,17,0.9957416508385861,0.999964921749267,0.014186284150810453,0.9425068842067872,0.9957342816699322,1.001515406742602,0.005781125072669813,1.004353183122727,0.014246952649678917
MATD3,E2,building_energy_grid_total_export_baseline_kwh,17,2382413.4621983683,1925670.1087745428,2475046.1777174827,93436.97610653192,720818.1339964867,2986503.1617366374,2265685.0277401507,10184828.386707306,1.0388818804917421
MATD3,E2,building_energy_grid_total_export_control_kwh,17,2381675.302613025,1924247.676911123,2475612.0850707544,93524.25635088237,712621.8176486492,2985540.0482634604,2272918.230614811,10185184.089122772,1.0394414731322392
MATD3,E2,building_energy_grid_total_export_delta_kwh,17,-738.1595853434,-275.91042160987854,2017.789170874544,-8196.316347837448,-785.5793419927359,99.98432996869089,885.5636719614267,859.6025085449219,2.733540566212178
MATD3,E2,building_energy_grid_total_import_baseline_kwh,17,843335.0344249391,385918.8094424009,1490468.1364055192,20116.07917279005,84055.47210544534,558624.2690191269,474568.79691368155,5349549.492727518,1.7673499564996171
MATD3,E2,building_energy_grid_total_import_control_kwh,17,847006.027686993,385610.8617016971,1492668.8636047826,28621.37929272652,81565.87086919136,556238.1322546005,474672.26138540916,5361502.891610146,1.7622883601914474
MATD3,E2,building_energy_grid_total_import_delta_kwh,17,3670.9932620539603,704.8504620790482,5754.5294921393115,-2794.821243286133,-1383.3172614574432,9193.31614485383,10576.633406311274,13615.646462358534,1.567567435119614
MATD3,E2,building_energy_grid_total_net_exchange_baseline_kwh,17,-1539078.4277734293,-1819361.0078566892,3066793.0744608557,-9626204.11768818,-2411513.4564837366,-138058.38469427824,2273455.0717894584,4628731.358731031,1.9926165029143819
MATD3,E2,building_energy_grid_total_net_exchange_control_kwh,17,-1534669.2749260317,-1804322.9295309111,3070099.2024534266,-9628945.956868172,-2415167.880235568,-130120.97799682616,2285046.902238742,4648881.073961496,2.0004956459439116
MATD3,E2,building_energy_grid_total_net_exchange_delta_kwh,17,4409.15284739736,2034.3959477012977,7033.5495697858205,-3654.423751831055,-1107.4068398475647,9578.1144592762,10685.521299123764,20149.71523046493,1.595215637384309
MATD3,E2,building_equity_benefit_relative_percent,15,-239.55038262683811,-0.2003153417730691,917.8571309649973,-3557.3096244597687,-3.4504179671175974,0.3872162349262158,3.8376342020438132,6.43002245987941,3.8315828215344494
MATD3,E2,building_ev_events_departure_count,17,2334.235294117647,1535.0,2220.9324204433756,542.0,983.0,2133.0,1150.0,7949.0,0.9514603887792296
MATD3,E2,building_ev_events_departure_met_count,17,850.0,785.0,899.5585723008813,0.0,239.0,942.0,703.0,3265.0,1.0583042027069192
MATD3,E2,building_ev_events_departure_within_tolerance_count,17,31.58823529411765,18.0,42.79903448608597,0.0,3.0,40.0,37.0,144.0,1.3549042574738575
MATD3,E2,building_ev_performance_departure_soc_deficit_mean_ratio,17,0.3882975416846706,0.3588157406702199,0.11977343877331109,0.1876301236631551,0.3129676980522209,0.4304939190060837,0.11752622095386278,0.5938130713484805,0.3084578858100959
MATD3,E2,building_ev_performance_departure_success_ratio,17,0.3294394014113898,0.3450748521826645,0.21321055994462604,0.0,0.2527687296416938,0.4628344895936571,0.2100657599519633,0.7348993288590604,0.647192045126314
MATD3,E2,building_ev_performance_departure_within_tolerance_ratio,17,0.010259079082244018,0.0117263843648208,0.0077285805735309845,0.0,0.0032467532467532,0.016480060384954,0.013233307138200801,0.0237859266600594,0.7533405787764407
MATD3,E2,building_ev_total_charge_kwh,17,6658.153946081067,3839.3417687695473,7064.238409923822,0.0,1532.848994847387,8864.235897751525,7331.386902904138,24601.08366525173,1.0609905489015874
MATD3,E2,building_ev_total_v2g_export_kwh,17,2209.3873397051766,1813.6751131638885,1653.9912171543888,0.0,1312.3887479305267,2943.334466118365,1630.9457181878383,6462.487257473171,0.7486198492361685
MATD3,E2,building_solar_self_consumption_daily_average_export_kwh,17,6525.0835455294,5272.497052049695,6782.994098314783,256.2600927527317,1951.1617265135776,8178.880866868704,6227.719140355127,27906.825126267307,1.0395260154120307
MATD3,E2,building_solar_self_consumption_daily_average_generation_kwh,17,7984.225759755663,6675.00263135042,6913.679795472995,733.0908640694852,2998.993238063628,11843.77489266223,8844.781654598602,28769.501526072123,0.8659173730183414
MATD3,E2,building_solar_self_consumption_ratio_self_consumption_ratio,17,0.22704886624492882,0.0696142191847303,0.29272508305762635,0.0020828322098683,0.023651909494671,0.2531659175871268,0.2295140080924558,0.8550334523898645,1.2892602720237738
MATD3,E2,building_solar_self_consumption_total_export_kwh,17,2381383.6156371674,1924241.73662097,2475510.221130799,93524.25635088237,712092.7317721844,2984950.7297042906,2272857.9979321063,10184828.386707306,1.0395260154120305
MATD3,E2,building_solar_self_consumption_total_generation_kwh,17,2913909.726237494,2436097.8353332635,2523205.055356165,267547.6199326925,1094507.573841638,4322484.345201186,3227976.771359548,10499669.327786071,0.8659173730183413
MATD3,E3,building_battery_health_capacity_fade_ratio,17,7.795671028909013e-07,5.718146911057027e-07,3.477670717148791e-07,5.046497911962433e-07,5.189144086139375e-07,1.0292547015274385e-06,5.10340292913501e-07,1.7325764552540709e-06,0.4461028055509781
MATD3,E3,building_battery_health_equivalent_full_cycles_count,17,0.1852179684573818,0.1410711141136603,0.06185761447646277,0.1401220579513558,0.1404699334325093,0.2661438263701106,0.12567389293760128,0.2677678870101765,0.3339719952208419
MATD3,E3,building_battery_total_charge_kwh,17,201.3715329391179,0.0,412.4354621940076,0.0,0.0,144.7477612906223,144.7477612906223,1260.4981082501108,2.048131909085194
MATD3,E3,building_battery_total_discharge_kwh,17,328.70397953296765,66.69000244140625,524.5859887100908,0.0,0.1163475951670989,454.91090393066406,454.79455633549696,1895.5012817382808,1.595922232080786
MATD3,E3,building_battery_total_throughput_kwh,17,530.0755124720856,277.6279525756836,551.9919616510371,38.87544536590576,140.2913589477539,724.1849975585938,583.8936386108398,1895.5012817382808,1.0413459000902359
MATD3,E3,building_comfort_resilience_discomfort_cold_delta_average_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_discomfort_cold_delta_max_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_discomfort_cold_delta_min_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_discomfort_cold_ratio,0,,,,,,,,,
MATD3,E3,building_comfort_resilience_discomfort_hot_delta_average_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_discomfort_hot_delta_max_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_discomfort_hot_delta_min_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_discomfort_hot_ratio,0,,,,,,,,,
MATD3,E3,building_comfort_resilience_discomfort_overall_ratio,0,,,,,,,,,
MATD3,E3,building_comfort_resilience_resilience_one_minus_thermal_ratio,0,,,,,,,,,
MATD3,E3,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MATD3,E3,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0,,,,,,,,,
MATD3,E3,building_cost_daily_average_baseline_eur,17,1554.7446887175727,613.3364870221892,2931.2688060874098,-182.77720819329417,28.548706894163978,1063.0866019172436,1034.5378950230795,10356.786023674633,1.8853698792856206
MATD3,E3,building_cost_daily_average_control_eur,17,1569.018047514533,636.7322298054836,2930.0288412676655,-163.75495684372316,48.97399024672794,1064.0838385066363,1015.1098482599084,10371.136970013657,1.867428386760176
MATD3,E3,building_cost_daily_average_delta_eur,17,14.273358796960098,14.575189004120029,13.935225521540339,-7.321530503873495,2.804404143831865,20.443672991672557,17.639268847840693,52.84614073241058,0.9763101817708265
MATD3,E3,building_cost_ratio_to_baseline_total_ratio,17,1.087529958162479,1.0077520509343652,0.24459614518034492,0.7995236304217677,0.9981973378580768,1.0658075149989863,0.06761017714090944,1.7154538882718844,0.22490979981243125
MATD3,E3,building_cost_total_baseline_eur,17,567417.0303532174,223842.2620761398,1069790.9780216508,-66706.06527354431,10419.088486915927,387982.314424714,377563.2259377981,3779795.365890254,1.8853698792856206
MATD3,E3,building_cost_total_control_eur,17,572626.2115908246,232380.73336942628,1069338.442527645,-59763.73612475713,17873.46585712875,388346.2642283178,370472.7983711891,3785032.8633479,1.8674283867601762
MATD3,E3,building_cost_total_delta_eur,17,5209.1812376072285,5319.336686961971,5085.776680965491,-2672.0535701428307,1023.4906623259712,7461.088822252495,6437.598159926524,19286.639444799344,0.9763101817708263
MATD3,E3,building_electrical_service_phase_imbalance_phase_average_ratio,17,0.2609957226197657,0.1598603843170424,0.2758249763686675,0.0239895706744754,0.0774668667726762,0.3189813141332082,0.241514447360532,1.1093597874711076,1.0568179953297776
MATD3,E3,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,17,989.5533689611099,900.787109375,975.4590629540613,101.4103546142578,466.5205078125,1106.2860107421875,639.7655029296875,4382.52734375,0.9857569015991067
