algorithm,scenario,action_dim,agent,agent_index,battery_capacity_fade_ratio,battery_charge_total_kwh,battery_discharge_total_kwh,battery_equivalent_full_cycles,battery_throughput_total_kwh,carbon_emissions_baseline_kgco2,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,carbon_emissions_ratio_to_baseline,electrical_service_violation_time_step_count,electrical_service_violation_total_kwh,electricity_cost_baseline_eur,electricity_cost_control_eur,electricity_cost_delta_eur,electricity_cost_ratio_to_baseline,equity_relative_benefit_percent,ev_charge_total_kwh,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total_kwh,grid_export_baseline_kwh,grid_export_control_kwh,grid_export_daily_average_baseline_kwh,grid_export_daily_average_control_kwh,grid_export_daily_average_delta_kwh,grid_export_delta_kwh,grid_export_ratio_to_baseline,grid_import_baseline_kwh,grid_import_control_kwh,grid_import_daily_average_baseline_kwh,grid_import_daily_average_control_kwh,grid_import_daily_average_delta_kwh,grid_import_delta_kwh,grid_import_minus_export_control_kwh,grid_import_ratio_to_baseline,grid_role_control,net_exchange_baseline_kwh,net_exchange_control_kwh,net_exchange_delta_kwh,net_exchange_ratio_to_baseline,observation_dim,phase_imbalance_ratio_average,pv_export_daily_average_kwh,pv_export_total_kwh,pv_generation_daily_average_kwh,pv_generation_total_kwh,pv_self_consumption_ratio,action_l2_max,action_l2_mean,action_l2_min,action_l2_total,action_mean_max,action_mean_mean,action_mean_min,action_mean_total,agent_steps,carbon_emissions_max,carbon_emissions_mean,carbon_emissions_min,carbon_emissions_total,electricity_cost_max,electricity_cost_mean,electricity_cost_min,electricity_cost_total,grid_export_max,grid_export_mean,grid_export_min,grid_export_total,grid_import_max,grid_import_mean,grid_import_min,grid_import_total,individual_reward_max,individual_reward_mean,individual_reward_min,individual_reward_total,net_electricity_consumption_max,net_electricity_consumption_mean,net_electricity_consumption_min,net_electricity_consumption_total,observation_l2_max,observation_l2_mean,observation_l2_min,observation_l2_total,observation_mean_max,observation_mean_mean,observation_mean_min,observation_mean_total,team_reward_max,team_reward_mean,team_reward_min,team_reward_total
HAPPO,E1,10,Building_15,14,0.0003417490274579,55037.99937434599,47928.66780762166,102.96666718196764,102966.66718196764,66154.54431789108,80767.15364801511,14612.609330124033,1.2208859494202902,0.0,0.0,24970.94538270581,17531.76201565521,-7439.1833670505985,0.7020864347329527,29.79135652670472,6615.118463806808,1535.0,618.0,0.2834462453576249,0.4026058631921824,67.0,0.0436482084690553,746.2618917881045,2383690.436869979,2389833.819223255,6531.404325251684,6548.237431368663,16.833106116979604,6143.382353276014,1.0025772567856348,86182.30781367142,105303.87570284214,236.14286876676724,288.53670702913706,52.39383826236983,19121.56788917072,-2284529.943520413,1.221873472343211,net_exporter,-2297508.1290563075,-2284529.943520413,12978.185535894709,0.9943511905913364,89,0.2773403338440618,6460.589383117087,2357845.93361344,6675.088427264501,2436129.1472670734,0.0321342625621691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,13,Building_16,15,0.000900123371323,431931.2348561799,373838.4239680003,248.3876876769976,805769.6588241803,244788.6756684068,281071.2080496177,36282.53238121088,1.148219815651765,0.0,0.0,153415.23570426033,65729.60087465995,-87685.63482960037,0.4284424592702604,57.15575407297396,7036.723483730108,2133.0,1408.0,0.1583760049071924,0.6601031411157994,118.0,0.0553211439287388,1292.3793135076994,2348803.7585601807,2330893.1773868203,6435.813472479089,6386.737784825173,-49.075687653915786,-17910.581173360348,0.992374594468318,318307.279298544,364233.8511010408,872.1743010806091,998.0148905611348,125.84058948052584,45926.57180249691,-1966659.3262857797,1.144283762230338,net_exporter,-2030496.4792616367,-1966659.3262857797,63837.15297585726,0.9685608157276536,110,0.0950111570424526,5672.617334584822,2070268.968067852,6940.358166914283,2532941.549333425,0.1826621626493241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,13,Building_17,16,0.0006063439441173,145987.231220541,127397.81686238316,185.4715387265429,273385.04808292416,138255.47273523296,202952.2027564235,64696.73002119054,1.46795058988434,0.0,0.0,92945.84764446854,110176.06966727036,17230.222022801827,1.185379147745362,-18.537914774536187,8993.760839650407,2112.0,1192.0,0.1986924159842137,0.5643939393939394,145.0,0.068655303030303,716.4961048248224,299939.4097133875,357438.5334560275,821.8456254277087,979.3954564384816,157.54983101077298,57499.12374264002,1.1917024634994926,179674.47855496407,264040.2815772891,492.315045703749,723.4806208305673,231.16557512681825,84365.80302232504,-93398.2518787384,1.4695480610314768,net_exporter,-120264.93115842342,-93398.2518787384,26866.67927968502,0.7766042102140823,110,0.3316715614299624,784.990769438218,286488.92289622297,1086.054211042872,396364.5347718549,0.2772084842022399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,6,Building_1,0,0.0011616802270879,2172915.523718731,1895657.33887162,301.5097719423708,4068572.862590351,2827494.144139081,3594573.472005248,767079.3278661673,1.2712929855066877,0.0,0.0,1942223.586514904,2153049.3561413498,210825.76962644607,1.108548660973039,-10.854866097303896,9080.561199592426,924.0,381.0,0.3019644784403335,0.4123376623376623,48.0,0.0519480519480519,2305.615008566994,1769549.574809134,2450889.5382231474,4848.634523966117,6715.532471441436,1866.8979474753196,681339.9634140134,1.385035815392459,3668559.398416996,4633932.50129354,10051.995154927265,12697.154929905808,2645.159774978543,965373.102876544,2183042.9630703926,1.2631477367636756,net_importer,1899009.823607862,2183042.9630703926,284033.1394625306,1.149569073277834,61,0.0523360429172702,4415.618475561011,1611516.7594766205,9424.330475569272,3439487.9431463024,0.5314660827092561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,8,Building_2,1,0.0004021741790155,32016.56375807532,27942.78281965712,122.86751347895992,59959.34657773244,22949.041400370726,37333.74678715645,14384.705386785718,1.626810729730669,0.0,0.0,-3246.174113436655,-20184.885916848754,-16938.7118034121,6.218053995717269,,2345.9144585672766,542.0,232.0,0.2225173153520753,0.4280442804428044,36.0,0.066420664206642,16.490516364574432,1957142.963917017,1969324.9364385605,5362.64769197493,5396.026769554224,33.37907757929491,12181.972521543505,1.0062243651823792,29998.62402199628,48583.80302966619,82.1973942833555,133.1215061892897,50.92411190593423,18585.17900766991,-1920741.1334088943,1.61953438244509,net_exporter,-1927144.3398950207,-1920741.1334088943,6403.206486126408,0.996677360198938,75,0.4963393751458036,5334.512608273176,1946874.830661031,5410.909603423045,1974756.550682602,0.0141190669867297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,10,Building_3,2,0.0012877307020797,900569.720229355,784316.8285972681,356.5142930229842,1684886.5488266232,347248.6075948644,643659.2937540412,296410.6861591768,1.8535979113413743,0.0,0.0,232179.5307359738,240834.77592133995,8655.245185366133,1.0372782439430828,-3.7278243943082847,22154.423985524103,2505.0,1180.0,0.2377416849688454,0.4710578842315369,111.0,0.0443113772455089,3342.755838622572,1245031.655344963,1513577.8658149391,3411.43506430861,4147.262105212757,735.8270409041472,268546.21046997607,1.2156942832072566,450183.9052295685,853794.6724708527,1233.5213752151665,2339.4305445028504,1105.909169287684,403610.76724128425,-659783.1933440864,1.8965464170369783,net_exporter,-794847.7501153946,-659783.1933440864,135064.55677130818,0.8300749335307299,89,0.1530402284689209,2570.3996280528627,938088.7642547928,4022.252636903788,1467954.6186100116,0.3609552009563773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,8,Building_4,3,0.0024432604535691,188944.2368106708,162407.404626957,386.9511469577398,351351.6414376277,441161.167536858,543587.0240237825,102425.85648692446,1.2321733280805296,0.0,0.0,296817.27579027746,324304.9100218571,27487.634231579665,1.0926079324675213,-9.260793246752131,8671.813838751987,1426.0,768.0,0.2024487843444286,0.5385694249649369,101.0,0.0708274894810659,7.399999618530273,101807.63298726082,204782.76256877184,278.9568662740336,561.1127185352808,282.1558522612472,102975.12958151102,2.0114676725113165,583584.1287830174,721760.5042569935,1599.0431659769858,1977.651798397973,378.6086324209873,138176.37547397614,516977.7416882217,1.2367719899479164,net_importer,481776.4957957566,516977.7416882217,35201.245892465115,1.0730655110816951,75,0.1053522077138121,330.08173804313685,120466.08097999314,1690.947699404299,617125.4541284273,0.8047948270905003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,5,Building_5,4,0.0022350610368208,109433.08206682975,94438.24624527532,435.6224963933869,203871.32831210503,285759.8778041182,315066.1249041469,29306.247100028675,1.1025554998316365,0.0,0.0,195327.8895442976,181333.3180717927,-13994.571472504877,0.9283534394133148,7.164656058668522,1605.0547980684787,746.0,388.0,0.2840012294581649,0.5201072386058981,30.0,0.0402144772117962,1828.48482300248,96763.40979127586,119866.48472023755,265.13549891433047,328.43882101674865,63.30332210241816,23103.07492896169,1.2387583796271373,372003.8162212409,409878.2968384372,1019.304896598902,1123.0824436719367,103.77754707303474,37874.4806171963,290011.81211819965,1.1018120754833098,net_importer,275240.40642996505,290011.81211819965,14771.405688234605,1.0536672862819405,54,0.5600502395533243,257.2361542739336,93880.478136891,733.1778193012495,267579.35496915184,0.6491490229217642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,34,Building_6,5,0.0016072306018018,990972.2370507276,866825.4816340827,365.5642893909505,1857797.7186848104,2863613.3828211427,3192210.3549175896,328596.9720964469,1.114749069852692,0.0,0.0,1954699.6208284425,2014987.913566327,60288.29273788445,1.0308427402837133,-3.0842740283713264,31154.47156629153,7949.0,3678.0,0.2477526858133722,0.4626997106554283,559.0,0.0703233111083155,10320.139938542445,1415837.120510399,1741994.6744856983,3879.448669054639,4773.13302747537,893.6843584207303,326157.553975299,1.2303637538883865,3770473.085530281,4241611.727210773,10331.24261362333,11622.180780118571,1290.9381664952405,471138.6416804921,2499617.052725075,1.124954781798749,net_importer,2354635.9650198817,2499617.052725075,144981.0877051931,1.0615726124373408,257,0.1357644896877772,3578.35870218045,1305951.8280166066,13459.757425435582,4912250.637057927,0.7341438936025515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,44,Building_7,6,0.0010907065119203,297948.1537730205,261743.67135439676,284.3962526053949,559691.8251274172,52338.737274503466,97372.19003250822,45033.45275800476,1.860422988843152,0.0,0.0,19756.849819785457,-40871.41315879378,-60628.26297857924,-2.0687211540102504,306.87211540102504,23945.533955002204,7786.0,4100.0,0.2351595059577602,0.5265861803236579,389.0,0.0499614693038787,3521.4310475786333,1930142.9073472023,1931685.7769767048,5288.666488906594,5292.894011581335,4.227522674740851,1542.8696295022964,1.000799355127348,69062.5583836846,127234.01353300364,189.234090787582,348.6261359506893,159.39204516310727,58171.45514931902,-1804451.763443701,1.8423009009620108,net_exporter,-1861080.3489635177,-1804451.763443701,56628.58551981673,0.9695721973791436,327,0.4123205774822078,4655.4651542163765,1699050.8035742184,5462.3447444872845,1993528.234040172,0.1477167092181847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E2,19,Building_8,7,0.0003589505825231,70424.50422705234,61302.956473944825,109.59023352828382,131727.46070099715,35476.86154603049,66303.13213473745,30826.270588706957,1.868911996308087,0.0,0.0,-26012.356960941164,-70432.65078198038,-44420.29382103922,2.7076612429907247,,14337.637645270675,3726.0,1503.0,0.3296256813012256,0.4033816425120773,115.0,0.0308641975308641,9935.107476181523,4944328.241827488,4970133.763509605,13547.65130766751,13618.359438775036,70.70813110752498,25805.52168211713,1.0052192169330123,46766.01421306096,86095.61404609215,128.1406942702892,235.90532447838928,107.76463020810009,39329.59983303119,-4884038.149463513,1.840986782706128,net_exporter,-4897562.227614427,-4884038.149463513,13524.07815091405,0.9972386102468164,152,0.5228142855317818,13487.894383779689,4922519.454480262,13651.89850035546,4982374.123525562,0.0120132827365735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
