run_id,algorithm,scenario,kpi,value
madrl_v3_20260627_164047,HAPPO,E3,battery_equivalent_full_cycles,270.17931800858054
madrl_v3_20260627_164047,HAPPO,E3,battery_throughput_total,14193059.933626752
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions,1.5929649660423615
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions_baseline,9145136.299396222
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions_control,11352967.210959308
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions_daily_average_baseline,25058.028449082012
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions_daily_average_control,31107.570848615527
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions_daily_average_delta,6049.542399533514
madrl_v3_20260627_164047,HAPPO,E3,carbon_emissions_delta,1106940.2269813095
madrl_v3_20260627_164047,HAPPO,E3,community_import_share,0.36970564723931837
madrl_v3_20260627_164047,HAPPO,E3,community_local_traded_daily_average,11009.847685926497
madrl_v3_20260627_164047,HAPPO,E3,community_local_traded_total,4018135.661709591
madrl_v3_20260627_164047,HAPPO,E3,cost_one_minus_load_factor_average,0.8462769592660307
madrl_v3_20260627_164047,HAPPO,E3,cost_peak_average,1.421289039691373
madrl_v3_20260627_164047,HAPPO,E3,cost_ramping_average,1.1531549642453112
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost,1.0297782949986545
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost_baseline,7155283.926301469
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost_control,7368356.081858005
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost_daily_average_baseline,19605.755706271866
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost_daily_average_control,20189.581683364784
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost_daily_average_delta,583.8259770929183
madrl_v3_20260627_164047,HAPPO,E3,electricity_cost_delta,106827.9907668146
madrl_v3_20260627_164047,HAPPO,E3,ev_charge_total,194863.48174975626
madrl_v3_20260627_164047,HAPPO,E3,ev_departure_count,39682.0
madrl_v3_20260627_164047,HAPPO,E3,ev_departure_met_count,19974.0
madrl_v3_20260627_164047,HAPPO,E3,ev_departure_soc_deficit_mean,0.2435035878785236
