available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path
True,OE3,Costos energeticos,0.6008859277407714,-3.124810299404146e-09,True,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,0.6008859246159611,citylearn_v2_original,baseline,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0005795900344428,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,31048.290894806385,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,24750.353607565165,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,256.4275942204574,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,55798.64450237155,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
False,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,37497.81816992164,citylearn_v2_original,hour_rbc,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv
