algorithm,scenario,episodes,kpi,value
MAAC,E3,50,pv_self_consumption_ratio,0.17918963749231215
MAAC,E3,50,battery_throughput_total,615244.839861477
MAAC,E3,50,ev_charge_total,10967.148514784873
MAAC,E3,50,ev_v2g_export_total,3677.922525198199
MAAC,E3,50,carbon_emissions,1.043854275478452
MAAC,E3,50,carbon_emissions_control,10564094.134996949
MAAC,E3,50,carbon_emissions_delta,73411.2486337313
MAAC,E3,50,electricity_cost,1.002675335325078
MAAC,E3,50,electricity_cost_control,7112781.500188709
MAAC,E3,50,electricity_cost_delta,9515.151784724349
MAAC,E3,50,price_signal_deviation,0.379623524784308
MAAC,E3,50,flex_composite,1.0137827049181145
