algorithm,scenario,episodes,kpi,value,gain,improved
HAPPO,E3,50,price_signal_deviation_ratio,1.1760112773348361,-0.17601127733483612,False
HAPPO,E3,50,pv_export_daily_average,108268.91408128581,,
HAPPO,E3,50,pv_export_total,39513642.43491593,,
HAPPO,E3,50,pv_generation_daily_average,135736.12476592427,,
HAPPO,E3,50,pv_generation_total,49538029.867697105,,
HAPPO,E3,50,pv_self_consumption_ratio,0.20235741024731194,,
HAPPO,E3,50,ramping_average,1.1531549642453112,-0.15315496424531116,False
HAPPO,E3,50,zero_net_energy,0.9785745869807972,0.021425413019202755,True
HAPPO,E3,50,flex_composite,1.1402403210675718,-0.14024032106757178,False
MASAC,E1,50,battery_capacity_fade_ratio,5.10651804180305e-05,0.999948934819582,True
MASAC,E1,50,battery_charge_total,332451.2102501957,,
MASAC,E1,50,battery_discharge_total,291882.2389227986,,
MASAC,E1,50,battery_equivalent_full_cycles,11.884821616785853,,
MASAC,E1,50,battery_throughput_total,624333.4491729945,,
MASAC,E1,50,carbon_emissions,1.053619622048921,-0.0536196220489209,False
MASAC,E1,50,carbon_emissions_baseline,9088716.879895853,,
MASAC,E1,50,carbon_emissions_control,9250726.214372514,,
MASAC,E1,50,carbon_emissions_daily_average_baseline,24903.437049606175,,
MASAC,E1,50,carbon_emissions_daily_average_control,25347.348914823648,,
MASAC,E1,50,carbon_emissions_daily_average_delta,443.9118652174749,-443.9118652174749,False
MASAC,E1,50,carbon_emissions_delta,81226.6231709392,-81226.6231709392,False
MASAC,E1,50,community_import_share,0.08236608602305379,,
MASAC,E1,50,community_local_traded_daily_average,2520.173910083967,,
MASAC,E1,50,community_local_traded_total,919758.4699343944,,
MASAC,E1,50,cost_one_minus_load_factor_average,0.9786257116077314,0.021374288392268626,True
MASAC,E1,50,cost_peak_average,1.0850627613699078,-0.08506276136990776,False
MASAC,E1,50,cost_ramping_average,1.0219691691061643,-0.02196916910616431,False
MASAC,E1,50,electricity_cost,1.0049419564019464,-0.00494195640194639,False
MASAC,E1,50,electricity_cost_baseline,5921703.1287605055,,
MASAC,E1,50,electricity_cost_control,5950967.92744811,,
MASAC,E1,50,electricity_cost_daily_average_baseline,16225.69643683664,,
MASAC,E1,50,electricity_cost_daily_average_control,16305.883121218705,,
MASAC,E1,50,electricity_cost_daily_average_delta,80.18668438206441,-80.18668438206441,False
MASAC,E1,50,electricity_cost_delta,14672.49268599316,-14672.49268599316,False
MASAC,E1,50,ev_charge_total,10720.165089577436,,
MASAC,E1,50,ev_departure_count,39682.0,,
MASAC,E1,50,ev_departure_met_count,1563.0,,
MASAC,E1,50,ev_departure_soc_deficit_mean,0.5027141603949834,0.4972858396050166,True
MASAC,E1,50,ev_departure_success_rate,0.03938813567864523,,
MASAC,E1,50,ev_departure_within_tolerance_count,469.0,,
MASAC,E1,50,ev_departure_within_tolerance_rate,0.011818960737866036,,
MASAC,E1,50,ev_v2g_export_total,3833.1771123362705,,
MASAC,E1,50,grid_export_baseline,40655093.25299454,,
MASAC,E1,50,grid_export_control,40666473.210258365,,
MASAC,E1,50,grid_export_delta,5705.569394234239,-5705.569394234239,False
MASAC,E1,50,grid_export_ratio,1.000279914676201,-0.0002799146762009208,False
