algorithm,scenario,episodes,kpi,value,gain,gain_kind,improved
MAAC,E2,50,carbon_emissions_delta,70654.19071758597,-70654.19071758597,delta_lower_better,False
MAAC,E2,50,electricity_cost,1.0039868213638963,-0.003986821363896276,ratio_lower_better,False
MAAC,E2,50,electricity_cost_delta,13275.329877851962,-13275.329877851962,delta_lower_better,False
MAAC,E2,50,flex_composite,1.0171790556280067,-0.0171790556280067,ratio_lower_better,False
MAAC,E3,50,peak_average,1.0309261417946909,-0.030926141794690887,ratio_lower_better,False
MAAC,E3,50,ramping_average,1.0189549701035028,-0.018954970103502777,ratio_lower_better,False
MAAC,E3,50,one_minus_load_factor_average,0.9914670028561496,0.008532997143850363,ratio_lower_better,True
MAAC,E3,50,pv_self_consumption_ratio,0.17918963749231215,-0.8208103625076879,higher_better,False
MAAC,E3,50,carbon_emissions,1.043854275478452,-0.04385427547845211,ratio_lower_better,False
MAAC,E3,50,carbon_emissions_delta,73411.2486337313,-73411.2486337313,delta_lower_better,False
MAAC,E3,50,electricity_cost,1.002675335325078,-0.00267533532507791,ratio_lower_better,False
MAAC,E3,50,electricity_cost_delta,9515.151784724349,-9515.151784724349,delta_lower_better,False
MAAC,E3,50,flex_composite,1.0137827049181145,-0.013782704918114508,ratio_lower_better,False
