algorithm,scenario,oe,objetivo,kpi,value,baseline,signed_relative_gain,lower_is_better
MASAC,E3,OE3,OE.3 Costos energeticos,cost_ramping_average,1.024945867130649,1.0,-0.024945867130649058,True
MASAC,E3,OE3,OE.3 Costos energeticos,electricity_cost,1.0055554410308447,1.0,-0.00555544103084471,True
MASAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_control,7145558.689493987,7106081.274015802,-0.005555441030844736,True
MASAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_daily_average_control,19579.10817991274,19470.938529099127,-0.005555441030844685,True
MASAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_daily_average_delta,108.16965081361292,0.0,-1.0,True
MASAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_delta,19792.792564499217,0.0,-1.0,True
MASAC,E3,OE3,OE.3 Costos energeticos,price_signal_deviation,0.3899742202101317,0.3845799501022525,-0.014026394528484781,True
MASAC,E3,OE3,OE.3 Costos energeticos,__AXIS_SCORE__,-0.23553360192520253,,-0.23553360192520253,False
MATD3,E3,OE3,OE.3 Costos energeticos,cost_one_minus_load_factor_average,0.9935919536582044,1.0,0.006408046341795592,True
MATD3,E3,OE3,OE.3 Costos energeticos,cost_peak_average,1.0071128697365774,1.0,-0.007112869736577432,True
MATD3,E3,OE3,OE.3 Costos energeticos,cost_ramping_average,1.0011383857310043,1.0,-0.0011383857310043322,True
MATD3,E3,OE3,OE.3 Costos energeticos,electricity_cost,1.0091805161969924,1.0,-0.00918051619699245,True
MATD3,E3,OE3,OE.3 Costos energeticos,electricity_cost_control,9734645.59704402,9646089.516004698,-0.009180516196992693,True
MATD3,E3,OE3,OE.3 Costos energeticos,electricity_cost_daily_average_control,26673.306807747056,26430.659708198746,-0.009180516196992306,True
MATD3,E3,OE3,OE.3 Costos energeticos,electricity_cost_daily_average_delta,242.6470995483156,0.0,-1.0,True
MATD3,E3,OE3,OE.3 Costos energeticos,electricity_cost_delta,44399.364069434494,0.0,-1.0,True
MATD3,E3,OE3,OE.3 Costos energeticos,price_signal_deviation,0.3576461190979214,0.3563017643367849,-0.003773079158445489,True
MATD3,E3,OE3,OE.3 Costos energeticos,__AXIS_SCORE__,-0.22590642631946764,,-0.22590642631946764,False
