agent,algorithm,battery_throughput_total_kwh,building_id,carbon_emissions_delta_kgco2,electricity_cost_delta_eur,ev_charge_total_kwh,ev_departure_count,ev_departure_success_rate,ev_total,flex_composite_proxy,grid_export_max,grid_import_max,grid_role_control,nombre,objective,pv_self_consumption_ratio,run_id,scenario,tipo_uso
Building_2,MASAC,6093.713492266834,2,1550.4540475770555,-475.1948369122165,19.553312346339226,542.0,0.007380073800738007,6,5.38494833447288,0.0,15.16435432434082,net_exporter,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,OE3_costo,0.009509320922181234,madrl_v3_20260627_164047,E3,Office
Building_3,MASAC,55303.300091643585,3,13733.034024620836,2658.67516468995,664.0665654689074,2505.0,0.02475049900199601,8,33.00468987972112,0.0,98.17061614990234,net_exporter,AEROPUERTO INTERNACIONAL,OE3_costo,0.15654651073898518,madrl_v3_20260627_164047,E3,Assembly
Building_4,MASAC,22454.02453048173,4,5657.326953114767,1202.4989101405954,164.3461953997612,1426.0,0.014025245441795231,6,12.279915176396692,0.0,36.67196273803711,net_importer,HIPERMERCADOS TOTTUS ORIENTE SAC,OE3_costo,0.8322172088470331,madrl_v3_20260627_164047,E3,Retail
Building_5,MASAC,8032.092021759769,5,1766.0247493816423,-548.8908552461944,263.34219912439585,746.0,0.04289544235924933,3,18.19704143969933,0.0,54.225337982177734,net_importer,HOTEL PLAZA S.A.,OE3_costo,0.6342136630797431,madrl_v3_20260627_164047,E3,MultiFamily_Hotel
Building_6,MASAC,86754.41291598766,6,15776.995322135743,4215.30054851016,1565.3273174762726,7949.0,0.023524971694552775,32,121.05957019776373,0.0,362.8901062011719,net_importer,MALL AVENTURA S.A.,OE3_costo,0.7113956078806627,madrl_v3_20260627_164047,E3,Commercial_Mall
Building_7,MASAC,26332.819662184644,7,9440.118407846414,2335.4190597792076,2250.6497852131724,7786.0,0.06062162856408939,42,6.542661580167067,0.0,18.66022491455078,net_exporter,UNAP-FACULTAD DE BIOLOGIA-AULAS,OE3_costo,0.032240174049578886,madrl_v3_20260627_164047,E3,Education
Building_8,MASAC,13965.46992708568,8,3807.2568735247405,-899.2025018301028,1618.9154314547777,3726.0,0.05314009661835749,17,43.27123479701893,0.0,128.82179260253906,net_exporter,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,OE3_costo,0.008088211482299414,madrl_v3_20260627_164047,E3,Assembly_Military
Building_9,MASAC,4203.53332654193,9,1073.4499079255802,-406.6764292217995,255.94585466384888,1847.0,0.02165674066053059,10,1.1449794964677515,0.0,2.4506425857543945,net_exporter,GOBIERNO REGIONAL DE LORETO - COER,OE3_costo,0.015704096351140128,madrl_v3_20260627_164047,E3,Office_Critical
Building_10,MASAC,70952.58161051385,10,18575.083964535734,3686.173872834712,608.2588432431221,1298.0,0.028505392912172575,6,17.496871105691458,0.0,51.649574279785156,net_exporter,GOBIERNO REGIONAL DE LORETO,OE3_costo,0.1589609627107791,madrl_v3_20260627_164047,E3,Office
Building_11,MASAC,28455.855886723788,11,7085.636688141676,-2304.438581703289,493.87172162532806,983.0,0.06510681586978637,3,24.1732984385732,0.0,71.54803466796875,net_exporter,HOSPITAL REGIONAL DE LORETO,OE3_costo,0.028139352249142692,madrl_v3_20260627_164047,E3,Healthcare_Hospital
