available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path,normalized_score
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,16636.37982462966,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0\figures\tables\objective_kpis.csv,0.9999999999862701
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,16636.379674343843,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10417672.837767562,citylearn_v3_madrl,MAAC,outputs\madrl_v3_20260627_164047\MAAC\E3,outputs\madrl_v3_20260627_164047\MAAC\E3\figures\tables\objective_kpis.csv,0.04977204815753126
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,9088742.930663891,citylearn_v3_madrl,MASAC,outputs\madrl_v3_20260627_164047\MASAC\E3,outputs\madrl_v3_20260627_164047\MASAC\E3\figures\tables\objective_kpis.csv,0.17118171236332572
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10962469.364197545,citylearn_v3_madrl,MATD3,outputs\madrl_v3_20260627_164047\MATD3\E3,outputs\madrl_v3_20260627_164047\MATD3\E3\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,16636.37982462966,3.39165490004234e-06,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,16636.379828021316,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,16636.379674343843,7033.620257438837,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,23669.99993178268,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0\figures\tables\objective_kpis.csv,0.9993622146995714
True,OE2,Emisiones de CO2,10417672.837767562,146421.29722938687,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,10564094.134996949,citylearn_v3_madrl,MAAC,outputs\madrl_v3_20260627_164047\MAAC\E3,outputs\madrl_v3_20260627_164047\MAAC\E3\figures\tables\objective_kpis.csv,0.04359157675566418
True,OE2,Emisiones de CO2,9088742.930663891,181302.7459044736,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,9270045.676568365,citylearn_v3_madrl,MASAC,outputs\madrl_v3_20260627_164047\MASAC\E3,outputs\madrl_v3_20260627_164047\MASAC\E3\figures\tables\objective_kpis.csv,0.16093159123649237
True,OE2,Emisiones de CO2,10962469.364197545,82361.14151423238,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,11044830.505711775,citylearn_v3_madrl,MATD3,outputs\madrl_v3_20260627_164047\MATD3\E3,outputs\madrl_v3_20260627_164047\MATD3\E3\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,45.58432649744399,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0\figures\tables\objective_kpis.csv,0.9999999999862701
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,45.584326085655015,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,28544.827960545896,citylearn_v3_madrl,MAAC,outputs\madrl_v3_20260627_164047\MAAC\E3,outputs\madrl_v3_20260627_164047\MAAC\E3\figures\tables\objective_kpis.csv,0.04977204815753106
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,24903.508429721816,citylearn_v3_madrl,MASAC,outputs\madrl_v3_20260627_164047\MASAC\E3,outputs\madrl_v3_20260627_164047\MASAC\E3\figures\tables\objective_kpis.csv,0.17118171236332558
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,30037.5915904488,citylearn_v3_madrl,MATD3,outputs\madrl_v3_20260627_164047\MATD3\E3,outputs\madrl_v3_20260627_164047\MATD3\E3\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,45.58432649744399,9.293266600707284e-09,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,45.584326506737256,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,45.584326085655015,19.27239253094327,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,64.85671861659829,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E3_seed_0\figures\tables\objective_kpis.csv,0.9993622146995715
True,OE2,Emisiones de CO2,28544.827960545896,401.2000380757272,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,28946.027998621623,citylearn_v3_madrl,MAAC,outputs\madrl_v3_20260627_164047\MAAC\E3,outputs\madrl_v3_20260627_164047\MAAC\E3\figures\tables\objective_kpis.csv,0.04359157675566415
True,OE2,Emisiones de CO2,24903.508429721816,496.7765614462114,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,25400.284991168028,citylearn_v3_madrl,MASAC,outputs\madrl_v3_20260627_164047\MASAC\E3,outputs\madrl_v3_20260627_164047\MASAC\E3\figures\tables\objective_kpis.csv,0.16093159123649242
