available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value
True,OE1,Flexibilidad energetica,-26212243.05852127,58394.09948410466,False,net_exchange_control,True,citylearn_v2.evaluate_v2,-26153848.959037166
True,OE1,Flexibilidad energetica,0.0,29277.050791693757,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,29277.050791693757
True,OE1,Flexibilidad energetica,1.0,-0.014792147654558163,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9852078523454418
True,OE1,Flexibilidad energetica,1.0,0.11661055762840355,False,peak_average,True,citylearn_v2.evaluate_v2,1.1166105576284036
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,110902.01560713729
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,40474614.77928814
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,135731.8379158463
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,49536465.346037395
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.18293292634925845
True,OE1,Flexibilidad energetica,1.0,0.019118789005612147,False,ramping_average,True,citylearn_v2.evaluate_v2,1.0191187890056121
True,OE1,Flexibilidad energetica,1.0,-0.0010631975850955433,True,zero_net_energy,True,citylearn_v2.evaluate_v2,0.9989368024149045
True,OE2,Emisiones de CO2,1.0,0.03746704434136894,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.037467044341369
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10931898.644318385
True,OE2,Emisiones de CO2,10931898.644318385,145364.90502091683,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,11077263.549339302
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,29953.826631309654
True,OE2,Emisiones de CO2,29953.826631309654,398.30548241831275,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,30352.132113727966
True,OE2,Emisiones de CO2,0.0,398.3054824183131,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,398.3054824183131
True,OE2,Emisiones de CO2,0.0,72881.60525166757,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,72881.60525166757
True,OE3,Costos energeticos,1.0,-0.014792147654558163,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9852078523454418
True,OE3,Costos energeticos,1.0,0.11661055762840355,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.1166105576284036
True,OE3,Costos energeticos,1.0,0.019118789005612147,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.0191187890056121
True,OE3,Costos energeticos,1.0,0.003315220878014058,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.003315220878014
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,8145973.285303167
True,OE3,Costos energeticos,8145973.285303167,27005.700707181357,False,electricity_cost_control,True,citylearn_v2.evaluate_v2,8172978.986010348
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,22320.283005739926
True,OE3,Costos energeticos,22320.283005739926,73.99666822381187,False,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,22394.279673963738
True,OE3,Costos energeticos,0.0,73.99666822381009,False,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,73.99666822381009
True,OE3,Costos energeticos,0.0,13539.848687702584,False,electricity_cost_delta,True,citylearn_v2.evaluate_v2,13539.848687702584
True,OE3,Costos energeticos,0.38427682816729253,0.010479150533896586,False,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,0.3947559787011891
