algorithm,cost_function,level,name,scenario,value
HAPPO,building_emissions_daily_average_control_kgco2,building,Building_11,E1,1110.4889825286625
HAPPO,building_emissions_daily_average_delta_kgco2,building,Building_11,E1,4.895145220908609
HAPPO,building_emissions_ratio_to_baseline_total_ratio,building,Building_11,E1,1.0044276162327648
HAPPO,building_emissions_total_baseline_kgco2,building,Building_11,E1,403495.68420744233
HAPPO,building_emissions_total_control_kgco2,building,Building_11,E1,405282.20824868977
HAPPO,building_emissions_total_delta_kgco2,building,Building_11,E1,1786.5240412474377
HAPPO,building_energy_grid_daily_average_export_baseline_kwh,building,Building_11,E1,27965.44349017869
HAPPO,building_energy_grid_daily_average_export_control_kwh,building,Building_11,E1,27864.07626558138
HAPPO,building_energy_grid_daily_average_export_delta_kwh,building,Building_11,E1,-101.36722459730758
HAPPO,building_energy_grid_daily_average_import_baseline_kwh,building,Building_11,E1,1433.078018423656
HAPPO,building_energy_grid_daily_average_import_control_kwh,building,Building_11,E1,1429.9392087974293
HAPPO,building_energy_grid_daily_average_import_delta_kwh,building,Building_11,E1,-3.138809626226842
HAPPO,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_11,E1,-26532.365471755034
HAPPO,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_11,E1,-26434.137056783955
HAPPO,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_11,E1,98.22841497108074
HAPPO,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_11,E1,0.9963752684761497
HAPPO,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_11,E1,0.9978097426756434
HAPPO,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_11,E1,0.9962977890126061
HAPPO,building_energy_grid_total_export_baseline_kwh,building,Building_11,E1,10206221.64710313
HAPPO,building_energy_grid_total_export_control_kwh,building,Building_11,E1,10169226.833759472
HAPPO,building_energy_grid_total_export_delta_kwh,building,Building_11,E1,-36994.81334365904
HAPPO,building_energy_grid_total_import_baseline_kwh,building,Building_11,E1,523013.76514053345
HAPPO,building_energy_grid_total_import_control_kwh,building,Building_11,E1,521868.2304106951
HAPPO,building_energy_grid_total_import_delta_kwh,building,Building_11,E1,-1145.5347298383713
HAPPO,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_11,E1,-9683207.881962597
HAPPO,building_energy_grid_total_net_exchange_control_kwh,building,Building_11,E1,-9647358.603348777
HAPPO,building_energy_grid_total_net_exchange_delta_kwh,building,Building_11,E1,35849.27861382067
HAPPO,building_equity_benefit_relative_percent,building,Building_11,E1,38.295399533441646
HAPPO,building_ev_events_departure_count,building,Building_11,E1,983.0
HAPPO,building_ev_events_departure_met_count,building,Building_11,E1,408.0
HAPPO,building_ev_events_departure_within_tolerance_count,building,Building_11,E1,28.0
HAPPO,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_11,E1,0.3451573625191994
HAPPO,building_ev_performance_departure_success_ratio,building,Building_11,E1,0.4150559511698881
HAPPO,building_ev_performance_departure_within_tolerance_ratio,building,Building_11,E1,0.028484231943031537
HAPPO,building_ev_total_charge_kwh,building,Building_11,E1,1979.7644637934864
HAPPO,building_ev_total_v2g_export_kwh,building,Building_11,E1,2403.640669512999
HAPPO,building_solar_self_consumption_daily_average_export_kwh,building,Building_11,E1,27661.261833812954
HAPPO,building_solar_self_consumption_daily_average_generation_kwh,building,Building_11,E1,28769.848278196274
HAPPO,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_11,E1,0.03853292633536343
HAPPO,building_solar_self_consumption_total_export_kwh,building,Building_11,E1,10095208.016765319
HAPPO,building_solar_self_consumption_total_generation_kwh,building,Building_11,E1,10499795.877863381
HAPPO,building_battery_health_capacity_fade_ratio,building,Building_12,E1,0.000757642827111746
HAPPO,building_battery_health_equivalent_full_cycles_count,building,Building_12,E1,202.65265752888521
HAPPO,building_battery_total_charge_kwh,building,Building_12,E1,937963.169716143
HAPPO,building_battery_total_discharge_kwh,building,Building_12,E1,823493.7295249272
HAPPO,building_battery_total_throughput_kwh,building,Building_12,E1,1761456.8992410703
HAPPO,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_ratio,building,Building_12,E1,nan
HAPPO,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_ratio,building,Building_12,E1,nan
HAPPO,building_comfort_resilience_discomfort_overall_ratio,building,Building_12,E1,nan
HAPPO,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_12,E1,nan
HAPPO,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_12,E1,0.0
HAPPO,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_12,E1,nan
HAPPO,building_cost_daily_average_baseline_eur,building,Building_12,E1,1729.9776133102998
HAPPO,building_cost_daily_average_control_eur,building,Building_12,E1,1656.2029350374721
HAPPO,building_cost_daily_average_delta_eur,building,Building_12,E1,-73.7746782728277
HAPPO,building_cost_ratio_to_baseline_total_ratio,building,Building_12,E1,0.9573551254621958
HAPPO,building_cost_total_baseline_eur,building,Building_12,E1,631369.7464577048
HAPPO,building_cost_total_control_eur,building,Building_12,E1,604445.0628330507
HAPPO,building_cost_total_delta_eur,building,Building_12,E1,-26924.683624654077
HAPPO,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_12,E1,0.0408918030044427
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_12,E1,1288.9163818359375
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_12,E1,1288.9163818359375
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_12,E1,1281.5164794921875
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_12,E1,442.5389404296875
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_12,E1,443.1054992675781
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_12,E1,443.7992248535156
HAPPO,building_electrical_service_phase_violations_energy_total_kwh,building,Building_12,E1,0.0
HAPPO,building_electrical_service_phase_violations_event_count,building,Building_12,E1,0.0
HAPPO,building_emissions_daily_average_baseline_kgco2,building,Building_12,E1,2623.873276874511
HAPPO,building_emissions_daily_average_control_kgco2,building,Building_12,E1,3033.9943285393438
HAPPO,building_emissions_daily_average_delta_kgco2,building,Building_12,E1,410.1210516648329
HAPPO,building_emissions_ratio_to_baseline_total_ratio,building,Building_12,E1,1.1563036810045029
HAPPO,building_emissions_total_baseline_kgco2,building,Building_12,E1,957604.4180059932
HAPPO,building_emissions_total_control_kgco2,building,Building_12,E1,1107281.5134865046
HAPPO,building_emissions_total_delta_kgco2,building,Building_12,E1,149677.0954805113
HAPPO,building_energy_grid_daily_average_export_baseline_kwh,building,Building_12,E1,10225.511170092097
HAPPO,building_energy_grid_daily_average_export_control_kwh,building,Building_12,E1,10518.474772454942
HAPPO,building_energy_grid_daily_average_export_delta_kwh,building,Building_12,E1,292.96360236284517
HAPPO,building_energy_grid_daily_average_import_baseline_kwh,building,Building_12,E1,3407.6644310357296
HAPPO,building_energy_grid_daily_average_import_control_kwh,building,Building_12,E1,4032.6870556646377
HAPPO,building_energy_grid_daily_average_import_delta_kwh,building,Building_12,E1,625.0226246289078
HAPPO,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_12,E1,-6817.8467390563665
HAPPO,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_12,E1,-6485.787716790304
HAPPO,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_12,E1,332.05902226606264
HAPPO,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_12,E1,1.0286502647632634
HAPPO,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_12,E1,1.1834167176017791
HAPPO,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_12,E1,0.951295616493717
HAPPO,building_energy_grid_total_export_baseline_kwh,building,Building_12,E1,3731885.5141181946
HAPPO,building_energy_grid_total_export_control_kwh,building,Building_12,E1,3838805.022163868
HAPPO,building_energy_grid_total_export_delta_kwh,building,Building_12,E1,106919.50804567337
HAPPO,building_energy_grid_total_import_baseline_kwh,building,Building_12,E1,1243655.5313100815
