cost_function,level,name,value
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,243.38569045739166
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,1.1260249793486552
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.861808035368701
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.9633216436501504
building_energy_grid_total_export_baseline_kwh,building,Building_10,2957264.577039242
building_energy_grid_total_export_control_kwh,building,Building_10,3329953.7842891216
building_energy_grid_total_export_delta_kwh,building,Building_10,372689.20724987984
building_energy_grid_total_import_baseline_kwh,building,Building_10,535519.3085417747
building_energy_grid_total_import_control_kwh,building,Building_10,997034.1517381668
building_energy_grid_total_import_delta_kwh,building,Building_10,461514.84319639206
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2421745.268497467
building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2332919.632550955
building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,88825.63594651222
building_equity_benefit_relative_percent,building,Building_10,-26.980106669630448
building_ev_events_departure_count,building,Building_10,1298.0
building_ev_events_departure_met_count,building,Building_10,678.0
building_ev_events_departure_within_tolerance_count,building,Building_10,45.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_10,0.28103990037035237
building_ev_performance_departure_success_ratio,building,Building_10,0.522342064714946
building_ev_performance_departure_within_tolerance_ratio,building,Building_10,0.03466872110939907
building_ev_total_charge_kwh,building,Building_10,17630.407352119684
building_ev_total_v2g_export_kwh,building,Building_10,5932.977272376418
building_solar_self_consumption_daily_average_export_kwh,building,Building_10,7827.927980584019
building_solar_self_consumption_daily_average_generation_kwh,building,Building_10,9620.309019882927
building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_10,0.18631221051158287
building_solar_self_consumption_total_export_kwh,building,Building_10,2856867.549247309
building_solar_self_consumption_total_generation_kwh,building,Building_10,3511011.946048106
building_battery_health_capacity_fade_ratio,building,Building_11,0.001304316506872531
building_battery_health_equivalent_full_cycles_count,building,Building_11,378.4826752090041
building_battery_total_charge_kwh,building,Building_11,772389.0343409686
building_battery_total_discharge_kwh,building,Building_11,666602.0968036652
building_battery_total_throughput_kwh,building,Building_11,1438991.1311446337
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_11,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_11,0.0
