rank,algorithm,scenario,oe,metric,higher_is_better,building_id,agent,nombre,tipo_uso,value,import_ratio_to_baseline,co2_reduction_kgco2,cost_reduction_eur,battery_throughput_kwh,ev_charge_kwh,ev_departure_success_ratio,grid_role_control
15,MATD3,E1,OE.1,flex_gain_vs_baseline,True,8,Building_8,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,Assembly_Military,-0.08962283178600061,1.0896228317860006,-5611.882300971294,-4985.046019970978,320.1572818706718,13011.789591550827,0.464573268921095,net_exporter
16,MATD3,E1,OE.1,flex_gain_vs_baseline,True,7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,-0.15929359136548804,1.159293591365488,-12547.892022004176,-12638.630894491755,277.6279525756836,20586.2127130609,0.3384279475982533,net_exporter
17,MATD3,E1,OE.1,flex_gain_vs_baseline,True,13,Building_13,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,Education,-0.3611095598742846,1.3611095598742846,-7053.8491813538785,-7017.086505566538,144.78224154534018,10374.461107077077,0.6481665014866204,net_exporter
1,MATD3,E2,OE.2,co2_reduction_kgco2,True,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,2163.488812311087,0.9978873190416898,2163.488812311087,2053.6084617908346,1223.2149353027344,0.0,0.0,net_exporter
2,MATD3,E2,OE.2,co2_reduction_kgco2,True,8,Building_8,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,Assembly_Military,1904.0908750832314,0.9703814496082915,1904.0908750832314,1950.974042386908,169.09834671020508,3839.3417687695473,0.29495437466451957,net_exporter
3,MATD3,E2,OE.2,co2_reduction_kgco2,True,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,1848.3140035871766,0.9957285479760554,1848.3140035871766,2279.042941080581,532.7440643310547,0.0,0.0,net_exporter
4,MATD3,E2,OE.2,co2_reduction_kgco2,True,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,1416.2341955444426,0.9953715363533707,1416.2341955444426,950.0458268172515,66.69000244140625,0.0,0.0,net_importer
5,MATD3,E2,OE.2,co2_reduction_kgco2,True,3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,1112.949284640723,0.9981188649571012,1112.949284640723,958.8966749461833,664.1392211914062,4229.520744848996,0.38602794411177643,net_exporter
6,MATD3,E2,OE.2,co2_reduction_kgco2,True,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,-86.86336731998017,1.0002054795561994,-86.86336731998017,32.59594170260243,129.38999938964844,2697.514974117279,0.48106591865357645,net_importer
7,MATD3,E2,OE.2,co2_reduction_kgco2,True,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,-102.6227556636295,1.0023691186859855,-102.6227556636295,133.3569866283051,129.90314421200696,354.17428172007203,0.15129151291512916,net_exporter
8,MATD3,E2,OE.2,co2_reduction_kgco2,True,15,Building_15,DREL- COLEGIO NACIONAL DE IQUITOS,Education,-135.67569352604914,1.0019377803164338,-135.67569352604914,166.00098410973806,140.2913589477539,1532.848994847387,0.25276872964169383,net_exporter
9,MATD3,E2,OE.2,co2_reduction_kgco2,True,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,-557.2435806423127,1.0252484994232252,-557.2435806423127,-303.81413540743426,38.87544536590576,3373.1118268873543,0.5100162425554954,net_exporter
10,MATD3,E2,OE.2,co2_reduction_kgco2,True,13,Building_13,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,Education,-1514.2031124481873,1.0703447625508278,-1514.2031124481873,-971.0084948295817,144.78224154534018,3249.822793824598,0.4628344895936571,net_exporter
11,MATD3,E2,OE.2,co2_reduction_kgco2,True,17,Building_17,ASOCIACION CIVIL SELVA AMAZONICA,Laboratory,-5707.077056921567,1.0455775249556782,-5707.077056921567,-3978.6180818784487,207.9210968017578,8145.327739963308,0.2821969696969697,net_exporter
12,MATD3,E2,OE.2,co2_reduction_kgco2,True,16,Building_16,SIMA - IQUITOS S.R.LTDA,Industrial,-6079.644355727651,1.0211408225520466,-6079.644355727651,-4084.2272729192337,454.91090393066406,8864.235897751525,0.36802625410220347,net_exporter
13,MATD3,E2,OE.2,co2_reduction_kgco2,True,1,Building_1,ELECTRO ORIENTE S.A.,Office,-6951.535140919033,1.0023373541829348,-6951.535140919033,-4618.862719768193,3607.433335058442,7693.142107978463,0.25865800865800864,net_importer
14,MATD3,E2,OE.2,co2_reduction_kgco2,True,14,Building_14,AUTORIDAD PORTUARIA NACIONAL,Industrial_Port,-6969.130487184972,1.458029067720325,-6969.130487184972,-4420.004919616345,64.33050727844238,11980.249707240611,0.7348993288590604,net_exporter
15,MATD3,E2,OE.2,co2_reduction_kgco2,True,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,-7589.062412178668,1.0194079789713173,-7589.062412178668,-5227.3350185480085,662.9605941772461,15170.41975074634,0.6533127889060092,net_exporter
16,MATD3,E2,OE.2,co2_reduction_kgco2,True,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,-8619.185892284382,1.002234468322777,-8619.185892284382,-5521.813462362625,724.1849975585938,24601.083665251732,0.3450748521826645,net_importer
17,MATD3,E2,OE.2,co2_reduction_kgco2,True,7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,-10147.588059800866,1.1280760193135255,-10147.588059800866,-7192.0250282994675,523.6122240451477,17457.822829430923,0.4193424094528641,net_exporter
1,MATD3,E3,OE.3,cost_reduction_eur,True,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,2672.0535701428307,0.9978873190416898,2163.488812311087,2672.0535701428307,1223.2149353027344,0.0,0.0,net_exporter
