action_abs_mean_average,action_l2_mean,action_l2_std,action_mean_average,agent_reward_mean,agent_reward_total,agent_steps,episode
0.33485710737869256,2.6932022097160044,0.8097150133295848,0.2917198524767318,-0.8000037372112274,-27.200127065181732,34,16
0.35105437767661496,2.7045675339221975,0.8139010545509799,0.3187798058192911,-0.6558627784252167,-22.299334466457367,34,17
0.35598385731269533,2.6979965007932574,0.8339340182265436,0.3246113082930875,-0.8074272572994232,-27.45252674818039,34,18
0.3492678048291779,2.690290724906872,0.8561098356952634,0.29877760875074655,-0.5697113275527954,-19.370185136795044,34,19
0.340689373456629,2.6891199481651555,0.8597802856976589,0.300003098946825,-0.5500020235776901,-18.700068801641464,34,20
0.3464563861440568,2.6980641138460086,0.8659456116190174,0.3229269743793509,-0.5229295045137405,-17.77960315346718,34,21
0.36069544762498174,2.6924100649747578,0.8699549219020979,0.3298130946838053,-0.6453951895236969,-21.943436443805695,34,22
0.3690737216884555,2.6949484694824033,0.8936848655194002,0.3308384275708085,-0.5374043434858322,-18.271747678518295,34,23
0.367903464834807,2.6938984804023094,0.9116722390222121,0.3296681707171599,-0.5457778126001358,-18.556445628404617,34,24
0.35449633836084393,2.6656960467788346,0.897679949686994,0.3162610442431969,-0.5199187099933624,-17.677236139774323,34,25
0.3466634849397552,2.6506127733724103,0.893186059788063,0.3084281908221081,-0.3646814338862896,-12.399168752133846,34,26
0.3496046614103434,2.6343214432931283,0.9083261615515363,0.2996046614103434,-0.7695404291152954,-26.164374589920044,34,27
0.35254583788093163,2.618030113213847,0.9229304845147689,0.2907811319985787,-0.775460958480835,-26.36567258834839,34,28
0.35254583788093163,2.618030113213847,0.9229304845147689,0.2907811319985787,-0.6536426544189453,-22.22385025024414,34,29
0.3502833944420176,2.612657295164388,0.9222214735407084,0.28851868855966467,-0.723520040512085,-24.59968137741089,34,30
0.3370613790929834,2.5988225187062066,0.9230311191155223,0.27529667321063045,-0.6990250945091248,-23.76685321331024,34,31
0.3307993910031688,2.593220521789231,0.9232509817145753,0.2690346851208158,-0.6130599975585938,-20.844039916992188,34,32
0.3339228230641453,2.5893196847212034,0.908204456618204,0.2721581171817923,-0.6636673510074615,-22.564689934253693,34,33
0.3263103663167404,2.5922478447321424,0.883318239074434,0.2763103663167404,-0.6603453159332275,-22.451740741729736,34,34
0.3204280133755639,2.601595999002607,0.8724161980840957,0.2821927192579169,-0.5942167341709137,-20.203368961811066,34,35
0.32269045681447794,2.607368398069707,0.8720398879404377,0.2844551626968309,-0.6524249911308289,-22.18244969844818,34,36
0.3308352531945684,2.6224889514072722,0.8603480450203366,0.29259995907692143,-0.6819392442703247,-23.18593430519104,34,37
0.3367176061357449,2.6318371056777363,0.8488181623335159,0.28671760613574493,-0.6474210917949677,-22.0123171210289,34,38
0.3367176061357449,2.6318371056777363,0.8488181623335159,0.274952900253392,-0.8200499713420868,-27.88169902563095,34,39
0.3367176061357449,2.6318371056777363,0.8488181623335159,0.274952900253392,-0.833925187587738,-28.353456377983093,34,40
0.3367176061357449,2.6318371056777363,0.8488181623335159,0.274952900253392,-0.7529450356960297,-25.60013121366501,34,41
0.33426662574358806,2.625559994934107,0.8509299453099178,0.2725019198612351,-0.8015360832214355,-27.25222682952881,34,42
0.3367176061357449,2.6255599949341066,0.8509299453099177,0.274952900253392,-0.665598452091217,-22.63034737110138,34,43
0.334266625743588,2.631837105677736,0.8488181623335159,0.2725019198612351,-0.35283154994249344,-11.996272698044777,34,44
0.32691368456711745,2.631837105677736,0.8488181623335159,0.26514897868476456,-0.40677422657608986,-13.830323703587055,34,45
0.3239725080965292,2.6260647066106353,0.8493710705678194,0.26956074339064684,-0.56955187022686,-19.36476358771324,34,46
0.3212096077638132,2.620510249781389,0.8504430424063072,0.27415078423440137,-0.3478296734392643,-11.826208896934986,34,47
0.32164192687445636,2.6230988145025442,0.8592245691925858,0.2745831033450446,-0.5350052416324615,-18.190178215503693,34,48
0.32197502461115646,2.625641217262851,0.867794342998306,0.27491620108174475,-0.5552411377429962,-18.87819868326187,34,49
