algorithm,scenario,agent,electricity_cost_delta_eur,electricity_cost_control_eur,electricity_cost_baseline_eur,carbon_emissions_delta_kgco2,grid_import_delta_kwh,ev_charge_total_kwh,source_file
MASAC,E2,Building_6,4109.841458600014,1951580.7769804075,1947470.9355218075,16354.101186358836,21118.541416168213,1439.8629176616669,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_7,1841.158383060323,19833.372995221103,17992.21461216078,8644.863608882355,11285.82229288295,2287.302552215755,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_8,-853.7371509218392,-27349.007051794903,-26495.269900873067,2635.8306358039627,3412.3538705185056,1459.7524029016497,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_9,-307.4147976214563,4272.909395812778,4580.324193434234,847.4506514802306,1088.1997672319412,243.96209025383,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_10,3246.141006816877,267498.07498034503,264251.9339735281,14739.380947611178,19068.71351337433,658.5101829618216,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_11,-717.3080218275427,183044.65019376515,183761.9582155927,7957.32841246383,10098.499128341677,530.0657864511013,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_12,6122.541815543314,643787.8535448619,637665.3117293186,29201.518189747818,37656.89999389648,502.1715675592423,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_13,383.8298251423557,8112.008691570706,7728.17886642835,2088.514806301595,2681.1415998339653,470.09384682774544,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_14,-523.6390250804398,-36448.92380361105,-35925.28477853061,1632.6859095960915,2107.070266723633,628.4507700204849,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_15,-148.9510539049079,22712.998942593254,22861.94999649817,2265.0876792293348,2914.705867081881,404.1301949471235,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
