algorithm,scenario,agent,grid_role_control,action_dim,observation_dim,battery_throughput_total_kwh,ev_charge_total_kwh,ev_departure_success_rate,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,electricity_cost_control_eur,electricity_cost_delta_eur,grid_import_control_kwh,grid_export_control_kwh
MAAC,E1,Building_2,net_exporter,8,75,4715.750213604435,55.26330590248108,0.018450184501845,32131.39398212079,1005.8809560081936,-4600.543275698626,-253.78286649480836,41890.45184636582,1953229.8188523052
MAAC,E1,Building_3,net_exporter,10,89,35880.01147306534,644.3287180960178,0.024750499001996,264031.70525322855,9379.15315049942,142966.70838014048,183.18253686942623,342523.2300772816,1303580.549838662
MAAC,E1,Building_4,net_importer,8,75,6524.585756506846,273.44769605994225,0.0245441795231416,424898.6577664688,2136.4090055385022,260041.48474527692,445.9374862164841,562696.4410672337,111371.96649827808
MAAC,E1,Building_5,net_importer,5,54,4820.243452208889,203.1743505001068,0.049597855227882,294818.3149998374,701.0513247710769,176800.3723005008,-264.9368582125753,383596.8997052461,91949.57899683157
MAAC,E1,Building_6,net_importer,34,257,58204.87185073561,1106.636382177472,0.0213863379041388,4084541.688319266,10656.900342616718,2480418.226243715,2148.9174705753103,5377750.595507979,691734.8550547361
MAAC,E1,Building_7,net_exporter,44,327,6890.991292480113,2126.7416176199918,0.059979450295402,73611.56484282762,2803.370115771468,27851.772541713028,894.7552645089308,97226.53200283648,1912811.9059503227
MAAC,E1,Building_8,net_exporter,19,152,3782.055173335599,1345.6209635734558,0.060654857756307,37041.072483457625,1502.4807328329844,-40311.95621802371,-310.33087436192,48829.86828330718,4957387.992685139
MAAC,E1,Building_9,net_exporter,12,103,2469.147986283572,219.4257254600525,0.0232809962100703,20094.53026497364,598.8120052297418,-729.5296491869277,-92.64210583066917,26126.507427752014,1082235.530195322
MAAC,E1,Building_10,net_exporter,8,75,13372.623413051013,787.8329135775566,0.0238828967642526,452497.1920200586,4240.807737960888,278153.83953561785,958.0168433018262,600990.3619775772,2957881.0682473183
MAAC,E1,Building_11,net_exporter,5,54,10176.590277283674,570.3815714120865,0.0762970498474059,369750.8501224518,2103.067469609028,103047.75758363916,-888.9321198133257,479260.8340873718,10259537.696541786
MAAC,E1,Building_12,net_exporter,5,54,72534.62070844881,430.8110456466675,0.0302083333333333,1043502.13615036,11013.67513289256,589556.4084660152,6.225393988541327,1353574.6098470688,3743726.555242389
