axis,algorithm,scenario,seed,district_timeseries_episodes,kpi,valor,unidad,metodo,fuente,interpretacion,notas
OE.3,MATD3,E1,0,50,price_signal_deviation,0.3844033689016431,ratio,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.price_signal_deviation,baseline=0.38332228773988963; delta=0.0010810811617534832,
OE.1,MATD3,E2,0,50,peak_average,1.0054542490487863,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E2/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.005454; peor pico,
OE.1,MATD3,E2,0,50,ramping_average,1.0007704484747517,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.000770,
OE.1,MATD3,E2,0,50,one_minus_load_factor_average,0.9957821650426082,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.004218; mejor load factor penalty,
OE.1,MATD3,E2,0,50,autoconsumo (pv_self_consumption_ratio),0.18275312574214034,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=9052943.88 kWh de gen=49536465.35 kWh; export=40483521.47 kWh,
OE.1,MATD3,E2,0,50,autosuficiencia (derivada),0.40608017744820923,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E2/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=13240544.90 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MATD3,E2,0,50,carbon_emissions (ratio),1.0421428734111502,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.042143,
OE.2,MATD3,E2,0,50,consumo_ponderado_CI (=carbon_emissions_control),11019732.720185794,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=10973717.9654 kgCO2,
OE.2,MATD3,E2,0,50,carbon_emissions_delta,23070.418478806503,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MATD3,E2,0,50,emisiones_evitadas,-46014.75474345125,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E2/data/training_summary.json::all_values,exceso (sin evitacion): 46014.7547 kgCO2,
OE.3,MATD3,E2,0,50,electricity_cost (ratio),1.0039575998186379,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.003958,
OE.3,MATD3,E2,0,50,electricity_cost_control,7050531.348741419,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=7022738.1615,
OE.3,MATD3,E2,0,50,electricity_cost_delta,13934.67084307495,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MATD3,E2,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0054542490487863,ratio peak; %reduccion=-0.5454,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-0.5454% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MATD3,E2,0,50,price_signal_deviation,,,ausente,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E2_core_kpis.csv,no hay numero en datos,campo vacio en core_kpis / all_values para E2
OE.1,MATD3,E3,0,50,peak_average,1.0071128697365774,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E3/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.007113; peor pico,
OE.1,MATD3,E3,0,50,ramping_average,1.0011383857310043,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.001138,
OE.1,MATD3,E3,0,50,one_minus_load_factor_average,0.9935919536582044,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.006408; mejor load factor penalty,
OE.1,MATD3,E3,0,50,autoconsumo (pv_self_consumption_ratio),0.18289441719083424,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=9059942.96 kWh de gen=49536465.35 kWh; export=40476522.39 kWh,
OE.1,MATD3,E3,0,50,autosuficiencia (derivada),0.4055837678157804,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E3/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=13278088.49 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MATD3,E3,0,50,carbon_emissions (ratio),1.0741932384067436,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.074193,
OE.2,MATD3,E3,0,50,consumo_ponderado_CI (=carbon_emissions_control),11044830.505711775,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=10962469.3642 kgCO2,
OE.2,MATD3,E3,0,50,carbon_emissions_delta,41293.40711950582,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MATD3,E3,0,50,emisiones_evitadas,-82361.14151423238,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E3/data/training_summary.json::all_values,exceso (sin evitacion): 82361.1415 kgCO2,
OE.3,MATD3,E3,0,50,electricity_cost (ratio),1.0091805161969924,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.009181,
OE.3,MATD3,E3,0,50,electricity_cost_control,9734645.597044019,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=9646089.5160,
OE.3,MATD3,E3,0,50,electricity_cost_delta,44399.364069434494,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
