available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE2,Emisiones de CO2,9088716.879895853,162009.33447666094,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,9250726.214372514,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,24903.437049606175,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE2,Emisiones de CO2,24903.437049606175,443.91186521747295,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,25347.348914823648,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE2,Emisiones de CO2,0.0,443.9118652174749,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,443.9118652174749,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE2,Emisiones de CO2,0.0,81226.6231709392,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,81226.6231709392,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,1.0,-0.021374288392268626,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9786257116077314,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,1.0,0.08506276136990776,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.0850627613699078,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,1.0,0.02196916910616431,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.0219691691061643,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,1.0,0.00494195640194639,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0049419564019464,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,5921703.1287605055,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,5921703.1287605055,29264.798687604256,False,electricity_cost_control,True,citylearn_v2.evaluate_v2,5950967.92744811,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,16225.69643683664,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,16225.69643683664,80.18668438206441,False,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,16305.883121218705,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE3,Costos energeticos,0.0,80.18668438206441,False,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,80.18668438206441,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
