available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path,normalized_score
True,OE2,Emisiones de CO2,28547.7478553404,473.2266752861906,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,29020.974530626587,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.49791107069807344
True,OE2,Emisiones de CO2,29954.290383228137,401.862884525468,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,30356.153267753605,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.32300112054485414
True,OE2,Emisiones de CO2,24991.216060141884,197.0522009811175,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,25188.268261123,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,0.0,4063.202558885469,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,4063.202558885469,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,0.0,473.2266752861899,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,473.2266752861899,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.92856602854557
True,OE2,Emisiones de CO2,0.0,401.8628845254687,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,401.8628845254687,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.9470246460731626
True,OE2,Emisiones de CO2,0.0,197.0522009811165,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,197.0522009811165,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,0.0,743481.4182227306,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,743481.4182227306,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,0.0,86590.62268830428,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,86590.62268830428,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.9285660285455701
True,OE2,Emisiones de CO2,0.0,73532.53572473316,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,73532.53572473316,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.9470246460731626
True,OE2,Emisiones de CO2,0.0,36056.44752535721,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,36056.44752535721,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.1939995492525576,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.1051591536846012,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.2880462499559332
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.0981411215614809,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.23180478169093374
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.0692156070899416,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,6966.686729470461,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,3611.086335149093,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.30605335889448265
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,3544.131680584793,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.2922069671370181
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,2131.1558751448247,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,2542550.37764299,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,1317896.0503987877,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.3060533588944827
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,1293460.3912600917,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.29220696713701816
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,777783.0962663966,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE3,Costos energeticos,1.0,-0.0712856480664261,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.928714351933574,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE3,Costos energeticos,1.0,-0.0193374231456139,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.980662576854386,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.19232979618992072
True,OE3,Costos energeticos,1.0,-0.0180159827104178,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9819840172895822,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.1717845693367463
True,OE3,Costos energeticos,1.0,-0.0069670379756328,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9930329620243672,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE3,Costos energeticos,1.0,0.1657250592135146,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.1657250592135149,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE3,Costos energeticos,1.0,0.0809437899932685,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.0809437899932686,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.5487797325812144
