algorithm,scenario,axis,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source,run_path
MAAC,E1,OE3,electricity_cost_control,5918646.683298586,5911410.430769732,7236.252528853714,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,electricity_cost_daily_average_baseline,16197.494044808036,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,electricity_cost_daily_average_control,16217.321657628276,16197.494044808036,19.827612820239665,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,electricity_cost_daily_average_delta,19.8276128202408,0.0,19.8276128202408,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,electricity_cost_delta,3628.0400708369775,0.0,3628.0400708369775,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,price_signal_deviation,0.3799289434622753,0.3793213483543036,0.0006075951079717,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E2,OE1,battery_capacity_fade_ratio,4.703947281918824e-05,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,battery_charge_total,324341.5473796671,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,battery_discharge_total,279771.4939794364,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,battery_equivalent_full_cycles,11.499905607231849,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,battery_throughput_total,604113.0413591035,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,community_import_share,0.1026968600276509,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,community_local_traded_daily_average,3523.595829408709,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,community_local_traded_total,1285965.661241287,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_charge_total,10967.570031635463,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_departure_count,39682.0,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_departure_met_count,1620.0,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_departure_soc_deficit_mean,0.5008193109843627,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_departure_success_rate,0.0408245552139509,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_departure_within_tolerance_count,522.0,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_departure_within_tolerance_rate,0.013154578902273,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,ev_v2g_export_total,3716.81979391072,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_export_baseline,39642530.32753754,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_export_control,39640434.04137335,39642530.32753754,-2096.286164186895,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_export_delta,-1051.0150348243806,0.0,-1051.0150348243806,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
