algorithm,scenario,metric,value
MASAC,escenario_2,electricity_cost_daily_average_baseline,19163.732457495917
MASAC,escenario_2,electricity_cost_daily_average_control,19232.703170984816
MASAC,escenario_2,electricity_cost_daily_average_delta,68.97071348890222
MASAC,escenario_2,electricity_cost_delta,12620.203678604754
MASAC,escenario_2,ev_charge_total,11313.459531189874
MASAC,escenario_2,ev_departure_count,39682.0
MASAC,escenario_2,ev_departure_met_count,1693.0
MASAC,escenario_2,ev_departure_soc_deficit_mean,0.49999936165598885
MASAC,escenario_2,ev_departure_success_rate,0.042664180232851165
MASAC,escenario_2,ev_departure_within_tolerance_count,537.0
MASAC,escenario_2,ev_departure_within_tolerance_rate,0.013532584043142986
MASAC,escenario_2,ev_v2g_export_total,3419.5918597663403
MASAC,escenario_2,grid_export_baseline,39346310.90370178
MASAC,escenario_2,grid_export_control,39335971.06664721
MASAC,escenario_2,grid_export_delta,-5184.084304733112
MASAC,escenario_2,grid_export_ratio,0.9997372094913833
MASAC,escenario_2,grid_import,1.037793578603177
MASAC,escenario_2,grid_import_baseline,13134313.989589691
MASAC,escenario_2,grid_import_control,13181584.683426503
MASAC,escenario_2,grid_import_delta,23700.10868642078
MASAC,escenario_2,net_exchange_baseline,-26211996.91411209
MASAC,escenario_2,net_exchange_control,-26154386.383220706
MASAC,escenario_2,net_exchange_delta,28884.19299115389
MASAC,escenario_2,one_minus_load_factor_average,0.9835213594804599
MASAC,escenario_2,peak_average,1.1165692494429975
MASAC,escenario_2,pv_export_daily_average,110905.09496458057
MASAC,escenario_2,pv_export_total,40475738.61644838
MASAC,escenario_2,pv_generation_daily_average,135731.8379158463
MASAC,escenario_2,pv_generation_total,49536465.346037395
MASAC,escenario_2,pv_self_consumption_ratio,0.18291023928120895
MASAC,escenario_2,ramping_average,1.0186612323666393
MASAC,escenario_2,zero_net_energy,0.9989132179356845
MASAC,escenario_3,battery_capacity_fade_ratio,5.1551216801694945e-05
MASAC,escenario_3,battery_charge_total,360255.59183450975
MASAC,escenario_3,battery_discharge_total,310237.8840614498
MASAC,escenario_3,battery_equivalent_full_cycles,12.763524630624374
MASAC,escenario_3,battery_throughput_total,670493.4758959597
MASAC,escenario_3,carbon_emissions,1.037759101084779
MASAC,escenario_3,carbon_emissions_baseline,10932067.894445635
MASAC,escenario_3,carbon_emissions_control,11078731.103010576
MASAC,escenario_3,carbon_emissions_daily_average_baseline,29954.290383228137
MASAC,escenario_3,carbon_emissions_daily_average_control,30356.153267753605
MASAC,escenario_3,carbon_emissions_daily_average_delta,401.8628845254687
MASAC,escenario_3,carbon_emissions_delta,73532.53572473316
MASAC,escenario_3,community_import_share,0.0981411215614809
MASAC,escenario_3,community_local_traded_daily_average,3544.1316805847932
MASAC,escenario_3,community_local_traded_total,1293460.3912600917
MASAC,escenario_3,cost_one_minus_load_factor_average,0.9819840172895822
MASAC,escenario_3,cost_peak_average,1.1170323615944113
MASAC,escenario_3,cost_ramping_average,1.019383469172229
MASAC,escenario_3,electricity_cost,1.0032894257156826
MASAC,escenario_3,electricity_cost_baseline,9617066.114568051
MASAC,escenario_3,electricity_cost_control,9648700.73915473
MASAC,escenario_3,electricity_cost_daily_average_baseline,26351.134461654667
MASAC,escenario_3,electricity_cost_daily_average_control,26437.814560990242
MASAC,escenario_3,electricity_cost_daily_average_delta,86.6800993355745
MASAC,escenario_3,electricity_cost_delta,15860.652343007308
MASAC,escenario_3,ev_charge_total,11393.897317195311
MASAC,escenario_3,ev_departure_count,39682.0
MASAC,escenario_3,ev_departure_met_count,1690.0
MASAC,escenario_3,ev_departure_soc_deficit_mean,0.4999506739383629
