cost_function,level,name,value
building_solar_self_consumption_daily_average_generation_kwh,building,Building_11,28848.054152112843
building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_11,0.03019582889657382
building_solar_self_consumption_total_export_kwh,building,Building_11,10210425.877599968
building_solar_self_consumption_total_generation_kwh,building,Building_11,10528337.76326485
building_battery_health_capacity_fade_ratio,building,Building_12,0.0005167886962650041
building_battery_health_equivalent_full_cycles_count,building,Building_12,201.47910201619135
building_battery_total_charge_kwh,building,Building_12,945058.5376746431
building_battery_total_discharge_kwh,building,Building_12,806197.8170500922
building_battery_total_throughput_kwh,building,Building_12,1751256.3547247353
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_12,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_12,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_12,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_12,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_12,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_12,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_12,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_12,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_12,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_12,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_12,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_12,nan
building_cost_daily_average_baseline_eur,building,Building_12,1942.645730360804
building_cost_daily_average_control_eur,building,Building_12,2087.720503175501
building_cost_daily_average_delta_eur,building,Building_12,145.07477281469704
building_cost_ratio_to_baseline_total_ratio,building,Building_12,1.074678965159413
building_cost_total_baseline_eur,building,Building_12,708984.7480095951
building_cost_total_control_eur,building,Building_12,761930.9953047589
building_cost_total_delta_eur,building,Building_12,52946.247295163805
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_12,0.06849187473099407
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_12,1311.8785400390625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_12,1312.279541015625
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_12,1315.8619384765625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_12,429.58599853515625
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_12,430.6218566894531
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_12,428.7695007324219
building_electrical_service_phase_violations_energy_total_kwh,building,Building_12,0.0
building_electrical_service_phase_violations_event_count,building,Building_12,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_12,2838.213180243802
building_emissions_daily_average_control_kgco2,building,Building_12,3473.064076794461
building_emissions_daily_average_delta_kgco2,building,Building_12,634.8508965506591
building_emissions_ratio_to_baseline_total_ratio,building,Building_12,1.2236797788727503
building_emissions_total_baseline_kgco2,building,Building_12,1035829.5519064775
building_emissions_total_control_kgco2,building,Building_12,1267523.6770267785
building_emissions_total_delta_kgco2,building,Building_12,231694.12512030092
building_energy_grid_daily_average_export_baseline_kwh,building,Building_12,10238.853847285469
building_energy_grid_daily_average_export_control_kwh,building,Building_12,10674.559656740937
building_energy_grid_daily_average_export_delta_kwh,building,Building_12,435.70580945546834
building_energy_grid_daily_average_import_baseline_kwh,building,Building_12,3681.320624992474
building_energy_grid_daily_average_import_control_kwh,building,Building_12,4501.307324434636
building_energy_grid_daily_average_import_delta_kwh,building,Building_12,819.9866994421618
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_12,-6557.533222292994
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_12,-6173.252332306301
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_12,384.28088998669347
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_12,1.042554158498022
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_12,1.2227425380650832
