available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE1,Flexibilidad energetica,1.0,0.10566246977778238,False,ramping_average,True,citylearn_v2.evaluate_v2,1.1056624697777824,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,1.0,-0.011347738758503811,True,zero_net_energy,True,citylearn_v2.evaluate_v2,0.9886522612414962,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,1.0,0.4189207285376251,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.418920728537625,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10495657.205877407,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,10495657.205877407,1395843.098224897,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,11891500.304102303,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,28758.508156302978,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,28758.508156302978,3824.6642718800686,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,32583.172428183047,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,0.0,3824.6642718800695,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,3824.6642718800695,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE2,Emisiones de CO2,0.0,699833.8812483886,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,699833.8812483886,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,1.0,-0.06596342595574323,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9340365740442568,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
